date,bet,bet365,betano,sportingbet,apostas esportivas,isPartial,data,ano,mes,soma_termos,score_composto_real,score_bet_real,score_bet_solo,score_atual_sintetico
2015-01-01,1,0,0,1,0,False,2015-01-01,2015,1,2,0.67,1,1,2.27
2015-02-01,1,0,0,1,0,False,2015-02-01,2015,2,2,0.67,1,1,1.83
2015-03-01,1,1,0,1,0,False,2015-03-01,2015,3,3,1.0,1,1,2.54
2015-04-01,1,1,0,1,0,False,2015-04-01,2015,4,3,1.0,1,1,3.31
2015-05-01,1,1,0,1,0,False,2015-05-01,2015,5,3,1.0,1,1,2.06
2015-06-01,1,0,0,1,0,False,2015-06-01,2015,6,2,0.67,1,1,2.12
2015-07-01,1,1,0,2,0,False,2015-07-01,2015,7,4,1.34,1,1,3.53
2015-08-01,1,1,0,2,0,False,2015-08-01,2015,8,4,1.34,1,1,2.95
2015-09-01,1,1,0,2,0,False,2015-09-01,2015,9,4,1.34,1,1,2.0
2015-10-01,1,1,0,2,0,False,2015-10-01,2015,10,4,1.34,1,1,2.85
2015-11-01,1,1,0,2,0,False,2015-11-01,2015,11,4,1.34,1,1,2.09
2015-12-01,1,1,0,2,0,False,2015-12-01,2015,12,4,1.34,1,1,1.7
2016-01-01,1,1,0,2,0,False,2016-01-01,2016,1,4,1.34,1,1,2.57
2016-02-01,1,1,0,2,0,False,2016-02-01,2016,2,4,1.34,1,1,1.0
2016-03-01,1,1,0,2,0,False,2016-03-01,2016,3,4,1.34,1,1,1.2
2016-04-01,1,1,0,3,0,False,2016-04-01,2016,4,5,1.67,1,1,2.21
2016-05-01,1,1,0,3,0,False,2016-05-01,2016,5,5,1.67,1,1,2.05
2016-06-01,2,2,0,3,0,False,2016-06-01,2016,6,7,2.34,2,2,3.19
2016-07-01,1,2,0,3,0,False,2016-07-01,2016,7,6,2.01,1,1,2.16
2016-08-01,1,1,0,2,0,False,2016-08-01,2016,8,4,1.34,1,1,1.84
2016-09-01,1,1,0,2,0,False,2016-09-01,2016,9,4,1.34,1,1,4.2
