ano,trends_score_medio,trends_score_max,trends_score_min,trends_score_std,fase_regulatoria,trends_normalizado_medio,trends_normalizado_max
2015,2.4375,3.53,1.7,0.5950267373671693,Pre-Legalizacao,0.0244,0.0353
2016,2.3333333333333335,4.2,1.0,0.9279335138147592,Pre-Legalizacao,0.0233,0.042
2017,3.345,5.19,2.3,0.8674256583288696,Pre-Legalizacao,0.0334,0.0519
2018,6.947500000000001,9.78,4.42,1.5244022673583477,Legalizacao_Expansao,0.0695,0.0978
2019,14.237499999999999,16.17,11.09,1.538181482376925,Legalizacao_Expansao,0.1424,0.1617
2020,22.61583333333333,25.49,18.74,2.3563857468332268,Legalizacao_Expansao,0.2262,0.2549
2021,41.91416666666667,48.22,35.67,3.9392787949372696,Legalizacao_Expansao,0.4191,0.4822
2022,72.48666666666666,100.0,57.58,11.903746800011657,Legalizacao_Expansao,0.7249,1.0
2023,87.97083333333335,100.0,75.04,7.926209065594675,Regulamentacao,0.8797,1.0
2024,94.58416666666666,100.0,82.23,6.768655645135463,Regulamentacao,0.9458,1.0
2025,91.73083333333334,100.0,78.83,7.811921493732662,Mercado_Regulado,0.9173,1.0
