data,ano,mes,termo_pesquisa,google_trends_score,pais,fase_regulatoria,trends_normalizado
2015-01-01,2015,1,apostas_esportivas_agregado,2.27,BR,Pre-Legalizacao,0.0227
2015-02-01,2015,2,apostas_esportivas_agregado,1.83,BR,Pre-Legalizacao,0.0183
2015-03-01,2015,3,apostas_esportivas_agregado,2.54,BR,Pre-Legalizacao,0.0254
2015-04-01,2015,4,apostas_esportivas_agregado,3.31,BR,Pre-Legalizacao,0.0331
2015-05-01,2015,5,apostas_esportivas_agregado,2.06,BR,Pre-Legalizacao,0.0206
2015-06-01,2015,6,apostas_esportivas_agregado,2.12,BR,Pre-Legalizacao,0.0212
2015-07-01,2015,7,apostas_esportivas_agregado,3.53,BR,Pre-Legalizacao,0.0353
2015-08-01,2015,8,apostas_esportivas_agregado,2.95,BR,Pre-Legalizacao,0.0295
2015-09-01,2015,9,apostas_esportivas_agregado,2.0,BR,Pre-Legalizacao,0.02
2015-10-01,2015,10,apostas_esportivas_agregado,2.85,BR,Pre-Legalizacao,0.0285
2015-11-01,2015,11,apostas_esportivas_agregado,2.09,BR,Pre-Legalizacao,0.0209
2015-12-01,2015,12,apostas_esportivas_agregado,1.7,BR,Pre-Legalizacao,0.017
2016-01-01,2016,1,apostas_esportivas_agregado,2.57,BR,Pre-Legalizacao,0.0257
2016-02-01,2016,2,apostas_esportivas_agregado,1.0,BR,Pre-Legalizacao,0.01
2016-03-01,2016,3,apostas_esportivas_agregado,1.2,BR,Pre-Legalizacao,0.012
2016-04-01,2016,4,apostas_esportivas_agregado,2.21,BR,Pre-Legalizacao,0.0221
2016-05-01,2016,5,apostas_esportivas_agregado,2.05,BR,Pre-Legalizacao,0.0205
2016-06-01,2016,6,apostas_esportivas_agregado,3.19,BR,Pre-Legalizacao,0.0319
2016-07-01,2016,7,apostas_esportivas_agregado,2.16,BR,Pre-Legalizacao,0.0216
2016-08-01,2016,8,apostas_esportivas_agregado,1.84,BR,Pre-Legalizacao,0.0184
2016-09-01,2016,9,apostas_esportivas_agregado,4.2,BR,Pre-Legalizacao,0.042
2016-10-01,2016,10,apostas_esportivas_agregado,2.9,BR,Pre-Legalizacao,0.029
2016-11-01,2016,11,apostas_esportivas_agregado,3.19,BR,Pre-Legalizacao,0.0319
