partida_id,temporada,rodada,clube,clube_slug,cartao,atleta,atleta_slug,num_camisa,posicao,minuto_continuo,minuto_nominal,acrescimo,periodo
4607,2014,1,Figueirense,figueirense,Amarelo,Paulo Roberto da Silva,paulo_roberto_da_silva,28,Nao Informada,66,66,0,2T
4607,2014,1,Figueirense,figueirense,Amarelo,Thiago Heleno,thiago_heleno,4,Zagueiro,44,44,0,1T
4608,2014,1,Internacional,internacional,Amarelo,Andrés D'Alessandro,andres_d_alessandro,10,Meio-campo,72,72,0,2T
4608,2014,1,Vitoria,vitoria,Amarelo,Marcelo Machado dos Santos,marcelo_machado_dos_santos,29,Nao Informada,86,86,0,2T
4608,2014,1,Vitoria,vitoria,Amarelo,Mansur,mansur,,Zagueiro,10,10,0,1T
4608,2014,1,Internacional,internacional,Amarelo,Juan Silveira dos Santos,juan_silveira_dos_santos,4,Zagueiro,20,20,0,1T
4608,2014,1,Vitoria,vitoria,Amarelo,Vinícius Santos Silva,vinicius_santos_silva,,Nao Informada,82,82,0,2T
4609,2014,1,Coritiba,coritiba,Amarelo,Carlos Emiliano Pereira,carlos_emiliano_pereira,30,Zagueiro,76,76,0,2T
4612,2014,1,Bahia,bahia,Amarelo,Cristian Chagas Tarouco,cristian_chagas_tarouco,3,Zagueiro,78,78,0,2T
4612,2014,1,Bahia,bahia,Amarelo,Rhayner,rhayner,,Atacante,41,41,0,1T
4612,2014,1,Cruzeiro,cruzeiro,Amarelo,Willian Farias,willian_farias,15,Nao Informada,91,90,1,2T
4612,2014,1,Cruzeiro,cruzeiro,Amarelo,Willian Gomes de Siqueira,willian_gomes_de_siqueira,9,Atacante,46,45,1,1T
4612,2014,1,Bahia,bahia,Amarelo,Pará,para,40,Zagueiro,60,60,0,2T
4612,2014,1,Bahia,bahia,Amarelo,Fahel,fahel,7,Meio-campo,39,39,0,1T
4612,2014,1,Cruzeiro,cruzeiro,Amarelo,Paulo César Tinga,paulo_cesar_tinga,7,Meio-campo,48,48,0,2T
4612,2014,1,Cruzeiro,cruzeiro,Amarelo,Nílton Ferreira Júnior,nilton_ferreira_junior,19,Meio-campo,22,22,0,1T
4611,2014,1,Botafogo-RJ,botafogo_rj,Amarelo,Marcelo Mattos,marcelo_mattos,5,Meio-campo,67,67,0,2T
4611,2014,1,Sao Paulo,sao_paulo,Amarelo,Álvaro Pereira,alvaro_pereira,6,Zagueiro,31,31,0,1T
4611,2014,1,Botafogo-RJ,botafogo_rj,Amarelo,Juan Carlos Ferreyra,juan_carlos_ferreyra,9,Atacante,30,30,0,1T
4610,2014,1,Athletico-PR,athletico_pr,Amarelo,Paulinho Dias,paulinho_dias,17,Meio-campo,38,38,0,1T
4610,2014,1,Gremio,gremio,Amarelo,Ramiro Moschen Benetti,ramiro_moschen_benetti,17,Meio-campo,62,62,0,2T
4610,2014,1,Gremio,gremio,Amarelo,Edinho,edinho,15,Meio-campo,72,72,0,2T
4614,2014,1,Flamengo,flamengo,Amarelo,Wallace Reis da Silva,wallace_reis_da_silva,14,Zagueiro,47,47,0,2T
4614,2014,1,Flamengo,flamengo,Amarelo,Léo Moura,leo_moura,2,Zagueiro,31,31,0,1T
4614,2014,1,Goias,goias,Amarelo,Thiago Henrique Mendes Ribeiro,thiago_henrique_mendes_ribeiro,23,Meio-campo,72,72,0,2T
4614,2014,1,Flamengo,flamengo,Amarelo,Lucas Mugni,lucas_mugni,,Meio-campo,37,37,0,1T
