partida_id,temporada,rodada,clube,clube_slug,chutes,chutes_no_alvo,posse_de_bola_pct,passes,precisao_passes_pct,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,scouts_validos
1,2003,1,Vasco,vasco,0,0,,0,,0,0,0,0,0,False
1,2003,1,Guarani,guarani,0,0,,0,,0,0,0,0,0,False
2,2003,1,Athletico-PR,athletico_pr,0,0,,0,,0,0,0,0,0,False
2,2003,1,Gremio,gremio,0,0,,0,,0,0,0,0,0,False
3,2003,1,Flamengo,flamengo,0,0,,0,,0,0,0,0,0,False
3,2003,1,Coritiba,coritiba,0,0,,0,,0,0,0,0,0,False
4,2003,1,Goias,goias,0,0,,0,,0,0,0,0,0,False
4,2003,1,Paysandu,paysandu,0,0,,0,,0,0,0,0,0,False
5,2003,1,Internacional,internacional,0,0,,0,,0,0,0,0,0,False
5,2003,1,Ponte Preta,ponte_preta,0,0,,0,,0,0,0,0,0,False
6,2003,1,Fluminense,fluminense,0,0,,0,,0,0,0,0,0,False
6,2003,1,Criciuma,criciuma,0,0,,0,,0,0,0,0,0,False
7,2003,1,Sao Paulo,sao_paulo,0,0,,0,,0,0,0,0,0,False
7,2003,1,Juventude,juventude,0,0,,0,,0,0,0,0,0,False
8,2003,1,Bahia,bahia,0,0,,0,,0,0,0,0,0,False
8,2003,1,Fortaleza,fortaleza,0,0,,0,,0,0,0,0,0,False
9,2003,1,Cruzeiro,cruzeiro,0,0,,0,,0,0,0,0,0,False
9,2003,1,Sao Caetano,sao_caetano,0,0,,0,,0,0,0,0,0,False
10,2003,1,Vitoria,vitoria,0,0,,0,,0,0,0,0,0,False
10,2003,1,Figueirense,figueirense,0,0,,0,,0,0,0,0,0,False
11,2003,1,Santos,santos,0,0,,0,,0,0,0,0,0,False
11,2003,1,Parana,parana,0,0,,0,,0,0,0,0,0,False
12,2003,1,Atletico-MG,atletico_mg,0,0,,0,,0,0,0,0,0,False
12,2003,1,Corinthians,corinthians,0,0,,0,,0,0,0,0,0,False
13,2003,2,Fortaleza,fortaleza,0,0,,0,,0,0,0,0,0,False
13,2003,2,Fluminense,fluminense,0,0,,0,,0,0,0,0,0,False
14,2003,2,Santos,santos,0,0,,0,,0,0,0,0,0,False
14,2003,2,Atletico-MG,atletico_mg,0,0,,0,,0,0,0,0,0,False
15,2003,2,Coritiba,coritiba,0,0,,0,,0,0,0,0,0,False
15,2003,2,Internacional,internacional,0,0,,0,,0,0,0,0,0,False
16,2003,2,Guarani,guarani,0,0,,0,,0,0,0,0,0,False
16,2003,2,Gremio,gremio,0,0,,0,,0,0,0,0,0,False
17,2003,2,Bahia,bahia,0,0,,0,,0,0,0,0,0,False
17,2003,2,Flamengo,flamengo,0,0,,0,,0,0,0,0,0,False
18,2003,2,Figueirense,figueirense,0,0,,0,,0,0,0,0,0,False
18,2003,2,Corinthians,corinthians,0,0,,0,,0,0,0,0,0,False
19,2003,2,Paysandu,paysandu,0,0,,0,,0,0,0,0,0,False
19,2003,2,Vitoria,vitoria,0,0,,0,,0,0,0,0,0,False
20,2003,2,Juventude,juventude,0,0,,0,,0,0,0,0,0,False
20,2003,2,Ponte Preta,ponte_preta,0,0,,0,,0,0,0,0,0,False
21,2003,2,Parana,parana,0,0,,0,,0,0,0,0,0,False
21,2003,2,Athletico-PR,athletico_pr,0,0,,0,,0,0,0,0,0,False
22,2003,2,Sao Caetano,sao_caetano,0,0,,0,,0,0,0,0,0,False
22,2003,2,Criciuma,criciuma,0,0,,0,,0,0,0,0,0,False
23,2003,2,Sao Paulo,sao_paulo,0,0,,0,,0,0,0,0,0,False
23,2003,2,Cruzeiro,cruzeiro,0,0,,0,,0,0,0,0,0,False
24,2003,2,Vasco,vasco,0,0,,0,,0,0,0,0,0,False
24,2003,2,Goias,goias,0,0,,0,,0,0,0,0,0,False
25,2003,4,Santos,santos,0,0,,0,,0,0,0,0,0,False
25,2003,4,Paysandu,paysandu,0,0,,0,,0,0,0,0,0,False
37,2003,3,Bahia,bahia,0,0,,0,,0,0,0,0,0,False
37,2003,3,Internacional,internacional,0,0,,0,,0,0,0,0,0,False
38,2003,3,Figueirense,figueirense,0,0,,0,,0,0,0,0,0,False
38,2003,3,Santos,santos,0,0,,0,,0,0,0,0,0,False
39,2003,3,Athletico-PR,athletico_pr,0,0,,0,,0,0,0,0,0,False
39,2003,3,Atletico-MG,atletico_mg,0,0,,0,,0,0,0,0,0,False
40,2003,3,Paysandu,paysandu,0,0,,0,,0,0,0,0,0,False
40,2003,3,Corinthians,corinthians,0,0,,0,,0,0,0,0,0,False
41,2003,3,Vasco,vasco,0,0,,0,,0,0,0,0,0,False
41,2003,3,Vitoria,vitoria,0,0,,0,,0,0,0,0,0,False
42,2003,3,Criciuma,criciuma,0,0,,0,,0,0,0,0,0,False
42,2003,3,Sao Paulo,sao_paulo,0,0,,0,,0,0,0,0,0,False
43,2003,3,Fortaleza,fortaleza,0,0,,0,,0,0,0,0,0,False
43,2003,3,Sao Caetano,sao_caetano,0,0,,0,,0,0,0,0,0,False
44,2003,3,Coritiba,coritiba,0,0,,0,,0,0,0,0,0,False
44,2003,3,Juventude,juventude,0,0,,0,,0,0,0,0,0,False
45,2003,3,Guarani,guarani,0,0,,0,,0,0,0,0,0,False
45,2003,3,Parana,parana,0,0,,0,,0,0,0,0,0,False
46,2003,3,Gremio,gremio,0,0,,0,,0,0,0,0,0,False
46,2003,3,Goias,goias,0,0,,0,,0,0,0,0,0,False
47,2003,3,Ponte Preta,ponte_preta,0,0,,0,,0,0,0,0,0,False
47,2003,3,Cruzeiro,cruzeiro,0,0,,0,,0,0,0,0,0,False
48,2003,3,Fluminense,fluminense,0,0,,0,,0,0,0,0,0,False
48,2003,3,Flamengo,flamengo,0,0,,0,,0,0,0,0,0,False
26,2003,4,Bahia,bahia,0,0,,0,,0,0,0,0,0,False
