partida_id,temporada,rodada,clube,clube_slug,atleta,atleta_slug,minuto_continuo,minuto_nominal,acrescimo,periodo,tipo_de_gol
4607,2014,1,Fluminense,fluminense,Rafael Sóbis,rafael_sobis,31,31,0,1T,Normal
4607,2014,1,Fluminense,fluminense,Nirley da Silva Fonseca,nirley_da_silva_fonseca,59,59,0,2T,Gol Contra
4607,2014,1,Fluminense,fluminense,Fred,fred,45,45,0,1T,Penalty
4608,2014,1,Internacional,internacional,Charles Aránguiz,charles_aranguiz,6,6,0,1T,Normal
4612,2014,1,Cruzeiro,cruzeiro,Nílton Ferreira Júnior,nilton_ferreira_junior,63,63,0,2T,Normal
4612,2014,1,Bahia,bahia,Anderson Talisca,anderson_talisca,80,80,0,2T,Penalty
4612,2014,1,Cruzeiro,cruzeiro,Marcelo Moreno,marcelo_moreno,90,90,0,2T,Normal
4611,2014,1,Sao Paulo,sao_paulo,Douglas Pereira dos Santos,douglas_pereira_dos_santos,22,22,0,1T,Normal
4611,2014,1,Sao Paulo,sao_paulo,Luís Fabiano,luis_fabiano,56,56,0,2T,Normal
4611,2014,1,Sao Paulo,sao_paulo,Antônio Carlos dos Santos Aguiar,antonio_carlos_dos_santos_aguiar,13,13,0,1T,Normal
4610,2014,1,Athletico-PR,athletico_pr,Dráusio Luis Salla Gil,drausio_luis_salla_gil,16,16,0,1T,Normal
4615,2014,1,Santos,santos,Gabriel Barbosa,gabriel_barbosa,80,80,0,2T,Normal
4615,2014,1,Sport,sport,Neto Baiano,neto_baiano,73,73,0,2T,Normal
4616,2014,1,Palmeiras,palmeiras,Alan Kardec,alan_kardec,88,88,0,2T,Normal
4616,2014,1,Criciuma,criciuma,Paulo Baier,paulo_baier,12,12,0,1T,Normal
4616,2014,1,Palmeiras,palmeiras,Leandro,leandro,83,83,0,2T,Normal
4618,2014,2,Fluminense,fluminense,Rafael Sóbis,rafael_sobis,45,45,0,1T,Normal
4620,2014,2,Athletico-PR,athletico_pr,Mosquito,mosquito,78,78,0,2T,Normal
4620,2014,2,Athletico-PR,athletico_pr,Marcelo Cirino da Silva,marcelo_cirino_da_silva,83,83,0,2T,Normal
4620,2014,2,Vitoria,vitoria,Telmário de Araújo Sacramento,telmario_de_araujo_sacramento,11,11,0,1T,Normal
4620,2014,2,Vitoria,vitoria,José Welison,jose_welison,36,36,0,1T,Normal
4622,2014,2,Cruzeiro,cruzeiro,Júlio Baptista,julio_baptista,50,50,0,2T,Normal
4622,2014,2,Sao Paulo,sao_paulo,Antônio Carlos dos Santos Aguiar,antonio_carlos_dos_santos_aguiar,92,90,2,2T,Normal
4619,2014,2,Internacional,internacional,Rafael Moura,rafael_moura,9,9,0,1T,Normal
4619,2014,2,Internacional,internacional,Rafael Moura,rafael_moura,35,35,0,1T,Normal
4619,2014,2,Botafogo-RJ,botafogo_rj,Emerson Sheik,emerson_sheik,64,64,0,2T,Normal
4619,2014,2,Botafogo-RJ,botafogo_rj,Pablo Zeballos,pablo_zeballos,75,75,0,2T,Normal
4621,2014,2,Corinthians,corinthians,Guilherme dos Santos Torres,guilherme_dos_santos_torres,9,9,0,1T,Normal
4621,2014,2,Corinthians,corinthians,Carlos Gilberto do Nascimento Silva,carlos_gilberto_do_nascimento_silva,80,80,0,2T,Normal
4626,2014,2,Sport,sport,Rithely,rithely,12,12,0,1T,Normal
4626,2014,2,Sport,sport,Ananias Elói Castro Monteiro,ananias_eloi_castro_monteiro,38,38,0,1T,Normal
4626,2014,2,Chapecoense,chapecoense,Ricardo Conceição,ricardo_conceicao,37,37,0,1T,Normal
4623,2014,2,Bahia,bahia,Lincoln Cássio de Souza Soares,lincoln_cassio_de_souza_soares,8,8,0,1T,Normal
4623,2014,2,Bahia,bahia,Fahel,fahel,74,74,0,2T,Normal
4624,2014,2,Gremio,gremio,Alan Ruiz,alan_ruiz,11,11,0,1T,Normal
4624,2014,2,Gremio,gremio,Lucas Coelho,lucas_coelho,22,22,0,1T,Normal
4624,2014,2,Atletico-MG,atletico_mg,Luiz Fernando Pereira da Silva,luiz_fernando_pereira_da_silva,84,84,0,2T,Normal
4625,2014,2,Goias,goias,Willian José de Souza,willian_jose_de_souza,82,82,0,2T,Normal
