temporada,serie,clube_slug,registro_cbf,apelido,atleta_slug,num_camisa,partidas_relacionado,partidas_jogadas,partidas_como_titular,minutos_em_campo,media_minutos_por_jogo
2025,A,fluminense,129292,Fabio,fabio,1,38,38,38,3420,90.0
2025,A,santos_fc,517633,Gabriel Br ...,gabriel_br,77,38,38,38,3399,89.4
2025,A,mirassol,582558,Jemmes,jemmes,3,37,37,37,3318,89.7
2025,A,mirassol,335362,Daniel,daniel,8,37,37,37,3265,88.2
2025,A,flamengo,815100,ROSSI,agustin_daniel_rossi,1,36,36,36,3240,90.0
2025,A,vasco_da_gama_s_a_f,323637,Léo Jardim,leonardo_cesar_jardim,1,36,36,36,3240,90.0
2025,A,ceara,431740,Willian Ma ...,willian_estefani_machado,23,36,36,36,3220,89.4
2025,A,atletico_mineiro_saf,188398,Everson,everson,22,35,35,35,3150,90.0
2025,A,sao_paulo,180213,Rafael,rafael_pires_monteiro,23,36,35,35,3150,90.0
2025,A,ceara,646613,Galeano,galeano,27,38,38,38,3144,82.7
2025,A,cruzeiro_saf,166276,Cássio,cassio_ramos,1,35,35,35,3086,88.2
2025,A,mirassol,527047,Carroll,carroll,34,34,34,34,3060,90.0
2025,A,ceara,447293,Fabiano Jo ...,fabiano_jo,70,36,34,34,3000,88.2
2025,A,cruzeiro_saf,541008,Kaiki Bruno,kaiki_bruno_da_silva,6,34,34,34,2996,88.1
2025,A,ceara,502361,Pedro Raul,pedro_raul_garay_da_silva,9,34,34,34,2991,88.0
2025,A,cruzeiro_saf,389228,Fabrício B ...,fabricio_b,15,33,33,33,2970,90.0
2025,A,fluminense,894168,Juan Freytes,juan_pablo_freytes,22,33,33,33,2970,90.0
2025,A,red_bull_bragantino,384823,Cleiton,cleiton_schwengber,1,33,33,33,2970,90.0
2025,A,vitoria,440063,Halter,lucas_halter,5,33,33,33,2970,90.0
2025,A,mirassol,332318,Reinaldo,reinaldo_manoel_da_silva,6,34,34,33,2936,86.4
2025,A,bahia,894406,Ramos Mingo,ramos_mingo,21,33,33,33,2934,88.9
2025,A,botafogo,405713,Marlon Fre ...,marlon_rodrigues_freitas,17,35,35,33,2925,83.6
2025,A,gremio,291584,Tiago Volpi,tiago_luis_volpi,1,32,32,32,2880,90.0
2025,A,botafogo,458582,Vitinho,victor_alexander_da_silva,2,36,36,34,2875,79.9
2025,A,cruzeiro_saf,837958,Villalba,lucas_hernan_villalba,25,34,32,32,2864,89.5
2025,A,flamengo,310373,Leo Pereira,leonardo_pereira,4,35,32,32,2864,89.5
2025,A,bahia,318143,Jean Lucas,jean_lucas,6,35,34,33,2861,84.1
2025,A,bahia,554138,Luciano Juba,luciano_juba,46,35,34,33,2834,83.4
2025,A,cruzeiro_saf,819091,Matheus Pe ...,matheus_pe,10,34,34,32,2793,82.1
2025,A,mirassol,177853,Walter,walter,22,36,31,31,2790,90.0
2025,A,vasco_da_gama_s_a_f,644827,Rayan,rayan,77,35,33,32,2790,84.5
2025,A,cruzeiro_saf,541523,Lucas Romero,lucas_daniel_romero,29,33,32,32,2785,87.0
2025,A,fluminense,517552,Martinelli,matheus_martinelli_lima,8,33,33,32,2765,83.8
2025,A,gremio,364054,Marlon,marlon_rodrigues_xavier,23,32,31,31,2765,89.2
2025,A,ceara,325261,Bruno,bruno,94,33,31,31,2763,89.1
2025,A,red_bull_bragantino,633579,Jhon Jhon,jhonatan_dos_santos_rosa,10,33,33,33,2762,83.7
2025,A,cruzeiro_saf,320111,Lucas Silva,lucas_silva_borges,16,35,34,32,2752,80.9
2025,A,juventude,302192,Jadson,jadson_alves_dos_santos,16,33,33,30,2749,83.3
