partida_id,temporada,rodada,data,horario,clube_mandante,clube_mandante_slug,clube_visitante,clube_visitante_slug,gols_mandante,gols_visitante,total_gols,saldo_mandante,resultado,vencedor,arena,mandante_uf,visitante_uf,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
1,2003,1,2003-03-29,16:00,Guarani,guarani,Vasco,vasco,4,2,6,2,Vitoria Mandante,Guarani, Brinco de Ouro,SP,RJ,,,,
2,2003,1,2003-03-29,16:00,Athletico-PR,athletico_pr,Gremio,gremio,2,0,2,2,Vitoria Mandante,Athletico-PR, Arena da Baixada,PR,RS,,,,
3,2003,1,2003-03-30,16:00,Flamengo,flamengo,Coritiba,coritiba,1,1,2,0,Empate,-, Maracanã,RJ,PR,,,,
4,2003,1,2003-03-30,16:00,Goias,goias,Paysandu,paysandu,2,2,4,0,Empate,-, Serra Dourada,GO,PA,,,,
5,2003,1,2003-03-30,16:00,Internacional,internacional,Ponte Preta,ponte_preta,1,1,2,0,Empate,-, Beira Rio,RS,SP,,,,
6,2003,1,2003-03-30,16:00,Criciuma,criciuma,Fluminense,fluminense,2,0,2,2,Vitoria Mandante,Criciuma, Heriberto Hulse,SC,RJ,,,,
7,2003,1,2003-03-30,16:00,Juventude,juventude,Sao Paulo,sao_paulo,2,2,4,0,Empate,-, Alfredo Jaconi,RS,SP,,,,
8,2003,1,2003-03-30,16:00,Fortaleza,fortaleza,Bahia,bahia,0,0,0,0,Empate,-, Castelão,CE,BA,,,,
9,2003,1,2003-03-30,16:00,Cruzeiro,cruzeiro,Sao Caetano,sao_caetano,2,2,4,0,Empate,-, Mineirão,MG,SP,,,,
10,2003,1,2003-03-30,16:00,Vitoria,vitoria,Figueirense,figueirense,1,1,2,0,Empate,-, Barradão,BA,SC,,,,
11,2003,1,2003-03-30,18:00,Santos,santos,Parana,parana,2,2,4,0,Empate,-, Vila Belmiro,SP,PR,,,,
12,2003,1,2003-03-30,18:00,Corinthians,corinthians,Atletico-MG,atletico_mg,0,3,3,-3,Vitoria Visitante,Atletico-MG, Pacaembu,SP,MG,,,,
13,2003,2,2003-04-05,16:00,Fluminense,fluminense,Fortaleza,fortaleza,1,1,2,0,Empate,-, Maracanã,RJ,CE,,,,
