partida_id,temporada,rodada,data,horario,clube_mandante,clube_mandante_slug,clube_visitante,clube_visitante_slug,gols_mandante,gols_visitante,total_gols,saldo_mandante,resultado,vencedor,arena,mandante_uf,visitante_uf,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,tem_bet_mandante,tipo_bet_mandante,marca_bet_mandante,exposure_clube_mandante,exposure_total_mandante,categoria_exp_mandante,tem_bet_visitante,tipo_bet_visitante,marca_bet_visitante,exposure_clube_visitante,exposure_total_visitante,categoria_exp_visitante,exposure_clube_partida,exposure_total_partida,ambos_patrocinados_bet,algum_patrocinado_bet,categoria_exposicao_partida
1,2003,1,2003-03-29,16:00,Guarani,guarani,Vasco,vasco,4,2,6,2,Vitoria Mandante,Guarani, Brinco de Ouro,SP,RJ,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
2,2003,1,2003-03-29,16:00,Athletico-PR,athletico_pr,Gremio,gremio,2,0,2,2,Vitoria Mandante,Athletico-PR, Arena da Baixada,PR,RS,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
3,2003,1,2003-03-30,16:00,Flamengo,flamengo,Coritiba,coritiba,1,1,2,0,Empate,-, Maracanã,RJ,PR,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
4,2003,1,2003-03-30,16:00,Goias,goias,Paysandu,paysandu,2,2,4,0,Empate,-, Serra Dourada,GO,PA,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
5,2003,1,2003-03-30,16:00,Internacional,internacional,Ponte Preta,ponte_preta,1,1,2,0,Empate,-, Beira Rio,RS,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
6,2003,1,2003-03-30,16:00,Criciuma,criciuma,Fluminense,fluminense,2,0,2,2,Vitoria Mandante,Criciuma, Heriberto Hulse,SC,RJ,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
7,2003,1,2003-03-30,16:00,Juventude,juventude,Sao Paulo,sao_paulo,2,2,4,0,Empate,-, Alfredo Jaconi,RS,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
8,2003,1,2003-03-30,16:00,Fortaleza,fortaleza,Bahia,bahia,0,0,0,0,Empate,-, Castelão,CE,BA,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
9,2003,1,2003-03-30,16:00,Cruzeiro,cruzeiro,Sao Caetano,sao_caetano,2,2,4,0,Empate,-, Mineirão,MG,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
10,2003,1,2003-03-30,16:00,Vitoria,vitoria,Figueirense,figueirense,1,1,2,0,Empate,-, Barradão,BA,SC,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
11,2003,1,2003-03-30,18:00,Santos,santos,Parana,parana,2,2,4,0,Empate,-, Vila Belmiro,SP,PR,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
12,2003,1,2003-03-30,18:00,Corinthians,corinthians,Atletico-MG,atletico_mg,0,3,3,-3,Vitoria Visitante,Atletico-MG, Pacaembu,SP,MG,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
13,2003,2,2003-04-05,16:00,Fluminense,fluminense,Fortaleza,fortaleza,1,1,2,0,Empate,-, Maracanã,RJ,CE,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
14,2003,2,2003-04-05,16:00,Atletico-MG,atletico_mg,Santos,santos,0,0,0,0,Empate,-, Mineirão,MG,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
15,2003,2,2003-04-05,16:00,Coritiba,coritiba,Internacional,internacional,0,1,1,-1,Vitoria Visitante,Internacional, Couto Pereira,PR,RS,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
16,2003,2,2003-04-05,18:00,Gremio,gremio,Guarani,guarani,3,1,4,2,Vitoria Mandante,Gremio, Olímpico,RS,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
17,2003,2,2003-04-06,16:00,Bahia,bahia,Flamengo,flamengo,1,2,3,-1,Vitoria Visitante,Flamengo, Fonte Nova,BA,RJ,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
18,2003,2,2003-04-06,16:00,Figueirense,figueirense,Corinthians,corinthians,3,3,6,0,Empate,-, Orlando Scarpelli,SC,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
19,2003,2,2003-04-06,16:00,Paysandu,paysandu,Vitoria,vitoria,1,2,3,-1,Vitoria Visitante,Vitoria, Mangueirão,PA,BA,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
20,2003,2,2003-04-06,16:00,Ponte Preta,ponte_preta,Juventude,juventude,1,0,1,1,Vitoria Mandante,Ponte Preta, Moisés Lucarelli,SP,RS,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
21,2003,2,2003-04-06,16:00,Parana,parana,Athletico-PR,athletico_pr,3,0,3,3,Vitoria Mandante,Parana, Pinheirão,PR,PR,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
22,2003,2,2003-04-06,16:00,Sao Caetano,sao_caetano,Criciuma,criciuma,3,2,5,1,Vitoria Mandante,Sao Caetano, Anacleto Campanella,SP,SC,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
23,2003,2,2003-04-06,18:00,Sao Paulo,sao_paulo,Cruzeiro,cruzeiro,2,4,6,-2,Vitoria Visitante,Cruzeiro, Morumbi,SP,MG,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
24,2003,2,2003-04-06,18:00,Vasco,vasco,Goias,goias,6,4,10,2,Vitoria Mandante,Vasco, São Januário,RJ,GO,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
25,2003,4,2003-04-09,21:40,Paysandu,paysandu,Santos,santos,2,1,3,1,Vitoria Mandante,Paysandu, Mangueirão,PA,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
37,2003,3,2003-04-12,16:00,Internacional,internacional,Bahia,bahia,2,0,2,2,Vitoria Mandante,Internacional, Beira Rio,RS,BA,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
38,2003,3,2003-04-12,16:00,Santos,santos,Figueirense,figueirense,2,0,2,2,Vitoria Mandante,Santos, Vila Belmiro,SP,SC,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
39,2003,3,2003-04-12,16:00,Athletico-PR,athletico_pr,Atletico-MG,atletico_mg,1,2,3,-1,Vitoria Visitante,Atletico-MG, Arena da Baixada,PR,MG,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
40,2003,3,2003-04-12,18:00,Corinthians,corinthians,Paysandu,paysandu,6,1,7,5,Vitoria Mandante,Corinthians, Pacaembu,SP,PA,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
41,2003,3,2003-04-13,16:00,Vitoria,vitoria,Vasco,vasco,2,1,3,1,Vitoria Mandante,Vitoria, Barradão,BA,RJ,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
42,2003,3,2003-04-13,16:00,Criciuma,criciuma,Sao Paulo,sao_paulo,1,1,2,0,Empate,-, Heriberto Hulse,SC,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
43,2003,3,2003-04-13,16:00,Fortaleza,fortaleza,Sao Caetano,sao_caetano,1,1,2,0,Empate,-, Presidente Vargas,CE,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
