partida_id,temporada,serie,rodada,clube,clube_slug,momento,periodo,minuto_nominal,acrescimo,minuto_continuo,num_entrou,atleta_entrou,atleta_entrou_slug,num_saiu,atleta_saiu,atleta_saiu_slug
95,2025,A,0,Red Bull Bragantino,red_bull_bragantino,2T,2T,10,0,55,8,Eduardo Colcenti Antunes,eduardo_colcenti_antunes,18,Thiago Nicolas Borbas Silva,thiago_nicolas_borbas_silva
95,2025,A,0,Red Bull Bragantino,red_bull_bragantino,2T,2T,10,0,55,17,Vinicius Mendonca Pereira,vinicius_mendonca_pereira,33,Ignacio Jesus Laquintana Mar,ignacio_jesus_laquintana_mar
95,2025,A,0,Juventude,juventude,2T,2T,18,0,63,19,Gabriel Pereira Taliari,gabriel_pereira_taliari,9,Gilberto Oliveira Souza Junior,gilberto_oliveira_souza_junior
95,2025,A,0,Juventude,juventude,2T,2T,18,0,63,10,Anderson Luis de Carvalho,anderson_luis_de_carvalho,11,Giovanny Bariani Marques,giovanny_bariani_marques
95,2025,A,0,Red Bull Bragantino,red_bull_bragantino,2T,2T,23,0,68,35,Matheus Fernandes Siqueira,matheus_fernandes_siqueira,7,Eric dos Santos Rodrigues,eric_dos_santos_rodrigues
95,2025,A,0,Red Bull Bragantino,red_bull_bragantino,2T,2T,23,0,68,5,Fabio Silva de Freitas,fabio_silva_de_freitas,6,Gabriel Girotto Franco,gabriel_girotto_franco
95,2025,A,0,Juventude,juventude,2T,2T,36,0,81,72,Daniel Nascimento Peixoto do,daniel_nascimento_peixoto_do,16,Jadson Alves dos Santos,jadson_alves_dos_santos
95,2025,A,0,Juventude,juventude,2T,2T,39,0,84,7,Mauricio Garcez de Jesus,mauricio_garcez_de_jesus,27,Emerson Geovanny Batalla Mar,emerson_geovanny_batalla_mar
95,2025,A,0,Red Bull Bragantino,red_bull_bragantino,2T,2T,39,0,84,3,Eduardo Gonzaga Mendes Santos,eduardo_gonzaga_mendes_santos,10,Jhonatan dos Santos Rosa,jhonatan_dos_santos_rosa
156,2025,A,0,Atlético Mineiro Saf,atletico_mineiro_saf,2T,2T,21,0,66,10,Gustavo Henrique Furtado Sca,gustavo_henrique_furtado_sca,33,Ronielson da Silva Barbosa,ronielson_da_silva_barbosa
156,2025,A,0,Fortaleza Ec Saf,fortaleza_ec_saf,2T,2T,26,0,71,96,Moises Vieira da Veiga,moises_vieira_da_veiga,91,Lucas de Figueiredo Crispim,lucas_de_figueiredo_crispim
156,2025,A,0,Fortaleza Ec Saf,fortaleza_ec_saf,2T,2T,26,0,71,19,Allan Victor Oliveira Mota,allan_victor_oliveira_mota,80,Jose Maria Herrera Ares,jose_maria_herrera_ares
156,2025,A,0,Atlético Mineiro Saf,atletico_mineiro_saf,2T,2T,32,0,77,8,Fausto Mariano Vera,fausto_mariano_vera,5,Alexsander Cristhian Gomes d,alexsander_cristhian_gomes_d
156,2025,A,0,Fortaleza Ec Saf,fortaleza_ec_saf,2T,2T,41,0,86,10,Yeison Estiven Guzman Gomez,yeison_estiven_guzman_gomez,26,Breno Henrique Vasconcelos L,breno_henrique_vasconcelos_l
156,2025,A,0,Fortaleza Ec Saf,fortaleza_ec_saf,2T,2T,41,0,86,20,Matheus Rossetto,matheus_rossetto,30,Pierre Wagner Oliveira dos S,pierre_wagner_oliveira_dos_s
156,2025,A,0,Atlético Mineiro Saf,atletico_mineiro_saf,2T,2T,41,0,86,2,Natanael Moreira Milouski,natanael_moreira_milouski,11,Bernard Anicio Caldeira Duarte,bernard_anicio_caldeira_duarte
156,2025,A,0,Atlético Mineiro Saf,atletico_mineiro_saf,2T,2T,41,0,86,18,Reinier Jesus Carvalho,reinier_jesus_carvalho,500,Givanildo Vieira de Sousa,givanildo_vieira_de_sousa
156,2025,A,0,Atlético Mineiro Saf,atletico_mineiro_saf,2T,2T,41,0,86,25,Gabriel Vinicius Menino,gabriel_vinicius_menino,92,Eduardo Pereira Rodrigues,eduardo_pereira_rodrigues
156,2025,A,0,Fortaleza Ec Saf,fortaleza_ec_saf,2T,2T,90,5,95,9,Juan Martin Lucero,juan_martin_lucero,18,Deyverson Brum Silva,deyverson_brum_silva
1,2025,A,1,Flamengo,flamengo,2T,2T,11,0,56,50,Gonzalo Jordy Plata Jimenez,gonzalo_jordy_plata_jimenez,7,Luiz de Araujo Guimaraes Neto,luiz_de_araujo_guimaraes_neto
1,2025,A,1,Flamengo,flamengo,2T,2T,11,0,56,11,Everton Sousa Soares,everton_sousa_soares,30,Michael Richard Delgado de O,michael_richard_delgado_de_o
1,2025,A,1,Internacional,internacional,2T,2T,15,0,60,16,Ronaldo da Silva Souza Guerr,ronaldo_da_silva_souza_guerr,8,Bruno Henrique Corsini,bruno_henrique_corsini
1,2025,A,1,Internacional,internacional,2T,2T,15,0,60,7,Johan Stiven Carbonero Balanta,johan_stiven_carbonero_balanta,28,Vitor Hugo Naum dos Santos,vitor_hugo_naum_dos_santos
1,2025,A,1,Internacional,internacional,2T,2T,22,0,67,13,Enner Remberto Valencia Lastra,enner_remberto_valencia_lastra,19,Rafael Santos Borre Maury,rafael_santos_borre_maury
1,2025,A,1,Flamengo,flamengo,2T,2T,25,0,70,64,Wallace Yan de Souza Barreto,wallace_yan_de_souza_barreto,27,Bruno Henrique Pinto,bruno_henrique_pinto
1,2025,A,1,Internacional,internacional,2T,2T,28,0,73,29,Thiago Maia Alencar,thiago_maia_alencar,21,Wesley Ribeiro Silva,wesley_ribeiro_silva
1,2025,A,1,Flamengo,flamengo,2T,2T,43,0,88,6,Ayrton Lucas Dantas de Medei,ayrton_lucas_dantas_de_medei,23,Olavio Vieira dos Santos Jun,olavio_vieira_dos_santos_jun
1,2025,A,1,Flamengo,flamengo,2T,2T,43,0,88,20,Matheus Gonçalves Martins,matheus_goncalves_martins,4,Leonardo Pereira,leonardo_pereira
2,2025,A,1,Vasco da Gama S.a.f.,vasco_da_gama_s_a_f,2T,2T,23,0,68,10,Dimitri Payet,dimitri_payet,11,Philippe Coutinho Correia,philippe_coutinho_correia
2,2025,A,1,Vasco da Gama S.a.f.,vasco_da_gama_s_a_f,2T,2T,23,0,68,3,Danilo das Neves Pinheiro,danilo_das_neves_pinheiro,18,Paulo Lucas Santos de Paula,paulo_lucas_santos_de_paula
2,2025,A,1,Vasco da Gama S.a.f.,vasco_da_gama_s_a_f,2T,2T,23,0,68,28,Adson Ferreira Soares,adson_ferreira_soares,15,Benjamín Antonio Garre,benjamin_antonio_garre
2,2025,A,1,Santos Fc,santos_fc,2T,2T,24,0,69,36,Deivid Washington de Souza E,deivid_washington_de_souza_e,9,Francisco das Chagas Soares,francisco_das_chagas_soares
2,2025,A,1,Santos Fc,santos_fc,2T,2T,24,0,69,70,Gabriel Veron Fonseca de Souza,gabriel_veron_fonseca_de_souza,22,Alvaro Martin Barreal,alvaro_martin_barreal
2,2025,A,1,Vasco da Gama S.a.f.,vasco_da_gama_s_a_f,2T,2T,31,0,76,45,Loide Antonio Augusto,loide_antonio_augusto,17,Nuno Gonçalo Rocha Moreira,nuno_goncalo_rocha_moreira
2,2025,A,1,Vasco da Gama S.a.f.,vasco_da_gama_s_a_f,2T,2T,34,0,79,8,Jair Rodrigues Junior,jair_rodrigues_junior,25,Hugo Moura Arruda da Silva,hugo_moura_arruda_da_silva
