partida_id,temporada,serie,rodada,clube,clube_slug,cartao,atleta,atleta_slug,num_camisa,minuto_nominal,acrescimo,minuto_continuo,periodo,motivo_completo,categoria_infracao,tipo_cartao_detalhe
43,2022,B,0,Náutico,nautico,Amarelo,Leandro Carvalho da Silva,leandro_carvalho_da_silva,23,42,0,42,1T,"A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser\ assistente n1, segurando seu braço de forma desrespeitosa enquanto a bola estava em jogo.",outro,
43,2022,B,0,Náutico,nautico,Vermelho,Leandro Carvalho da Silva,leandro_carvalho_da_silva,23,43,0,43,1T,"V2.8.  Outro motivo (detalhar no campo expulsões\ de protesto,  mostrando desrespeito a arbitragem. o mesmo saiu dos arredores do campo de jogo de forma normal. Confederação Brasileira de Futebol Publicação da Súmula: 04/05/2022 00:52 Emissão desta via: 04/05/2022 00:52 Página 2/3",outro,2º Cartão Amarelo
43,2022,B,0,Guarani,guarani,Amarelo,Matheus Pereira de Souza,matheus_pereira_de_souza,16,45,0,45,1T,A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Por atingir com o joelho nas costas do seu adversário de forma temerária. PF - Preparador Físico,falta_temeraria,
43,2022,B,0,Guarani,guarani,Amarelo,Eduardo Luiz Person,eduardo_luiz_person,8,4,0,49,2T,"A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser\ antidesportiva,segurando seu adversário mostrando desrespeito ao jogo.",conduta_antidesportiva,
43,2022,B,0,Náutico,nautico,Amarelo,Carlos Eduardo da Silva Santos,carlos_eduardo_da_silva_santos,3,6,0,51,2T,"A2.  Desaprovar com palavras ou gestos as decisões da arbitragem  - Por reclamação a arbitragem,dando um soco no ar.",reclamacao,
43,2022,B,0,Guarani,guarani,Amarelo,Diogo Mateus de Almeida Rodrigues Maciel,diogo_mateus_de_almeida_rodrigues_maciel,13,12,0,57,2T,"A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser\ antidesportiva,segurando seu adversário mostrando desrespeito ao jogo.",conduta_antidesportiva,
43,2022,B,0,Guarani,guarani,Amarelo,Rodolfo Jesus de Oliveira,rodolfo_jesus_de_oliveira,PF,40,0,85,2T,"A2.  Desaprovar com palavras ou gestos as decisões da arbitragem  - Por reclamar da arbitragem acintosamente,saindo da sua área técnica.",reclamacao,
61,2022,B,0,Ponte Preta,ponte_preta,Amarelo,Reginaldo Ramires de Oliveira Albertino,reginaldo_ramires_de_oliveira_albertino,16,21,0,21,1T,A4.  Infringir persistentemente as regras do jogo  - Por infringir persistentemente as regras do jogo.,outro,
61,2022,B,0,Novorizontino,novorizontino,Amarelo,Jhony Douglas Santiago,jhony_douglas_santiago,5,32,0,32,1T,"A1.2.  Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola  - Por calçar o seu adversário de maneira temerária, na disputa da bola.",falta_temeraria,
61,2022,B,0,Novorizontino,novorizontino,Amarelo,Felipe Albuquerque Felippi,felipe_albuquerque_felippi,2,37,0,37,1T,"A1.2.  Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola  - Por calçar o seu adversário de maneira temerária, na disputa da bola.",falta_temeraria,
61,2022,B,0,Ponte Preta,ponte_preta,Amarelo,Felipe Amaral Casarin Damasceno,felipe_amaral_casarin_damasceno,19,12,0,57,2T,"A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Por dar uma entrada em seu adversário de maneira temerária, na disputa da bola.",falta_temeraria,
61,2022,B,0,Ponte Preta,ponte_preta,Amarelo,Wallisson Luiz Alves Maximo,wallisson_luiz_alves_maximo,25,17,0,62,2T,"A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Por dar uma entrada em seu adversário de maneira temerária, na disputa da bola.",falta_temeraria,
61,2022,B,0,Ponte Preta,ponte_preta,Amarelo,Thiago Oliveira Lopes,thiago_oliveira_lopes,3,32,0,77,2T,A1.17.  Fazer marcas não autorizadas no campo de jogo - Por fazer marcas no ponto penal.,outro,
