partida_id,temporada,serie,rodada,clube,clube_slug,num_camisa,apelido,nome_completo,nome_truncado,atleta_slug,apelido_slug,condicao,goleiro,presente,registro_cbf
1,2022,B,1,Grêmio,gremio,1,Brenno,Brenno Oliveira Frag,True,brenno,brenno,Titular,True,True,433923
1,2022,B,1,Grêmio,gremio,3,Geromel,Pedro Tonon Geromel,False,pedro_tonon_geromel,geromel,Titular,False,True,165322
1,2022,B,1,Grêmio,gremio,5,Thiago Santos,Thiago dos Santos,False,thiago_dos_santos,thiago_santos,Reserva,False,True,293712
1,2022,B,1,Grêmio,gremio,6,Diogo,Diogo Barbosa Mendanha,False,diogo_barbosa_mendanha,diogo,Titular,False,True,339876
1,2022,B,1,Grêmio,gremio,7,Campaz,Jaminton Leandro Campaz,False,jaminton_leandro_campaz,campaz,Titular,False,True,729333
1,2022,B,1,Grêmio,gremio,8,Martin Ben ...,Martin Nicolas Benitez,False,martin_nicolas_benitez,martin_ben,Reserva,False,True,695297
1,2022,B,1,Grêmio,gremio,10,Ferreira,Aldemir dos Santos F,True,ferreira,ferreira,Titular,False,True,505058
1,2022,B,1,Grêmio,gremio,12,Chapecó,Gabriel Hamester Grando,False,gabriel_hamester_grando,chapeco,Reserva,True,True,443904
1,2022,B,1,Grêmio,gremio,15,Rodrigo,Rodrigo Ferreira da Silva,False,rodrigo_ferreira_da_silva,rodrigo,Reserva,False,True,406738
1,2022,B,1,Grêmio,gremio,16,Lucas Silva,Lucas Silva Borges,False,lucas_silva_borges,lucas_silva,Titular,False,True,320111
1,2022,B,1,Grêmio,gremio,17,Biel,Gabriel Teixeira Aragao,False,gabriel_teixeira_aragao,biel,Reserva,False,True,526885
1,2022,B,1,Grêmio,gremio,18,Elias,Elias Manoel Alves d,True,elias,elias,Titular,False,True,542309
1,2022,B,1,Grêmio,gremio,20,Janderson,Janderson Santos de Souza,False,janderson_santos_de_souza,janderson,Reserva,False,True,523883
1,2022,B,1,Grêmio,gremio,26,Rodrigues,Antonio Josenildo Ro,True,rodrigues,rodrigues,Titular,False,True,434738
1,2022,B,1,Grêmio,gremio,27,Villasanti,Mathias Adalberto Vi,True,villasanti,villasanti,Titular,False,True,727270
1,2022,B,1,Grêmio,gremio,34,Bruno Alves,Bruno Fabiano Alves,False,bruno_fabiano_alves,bruno_alves,Titular,False,True,312015
1,2022,B,1,Grêmio,gremio,36,Nata,Nata Felipe de Amori,True,nata,nata,Reserva,False,True,582447
1,2022,B,1,Grêmio,gremio,39,Bitello,Joao Paulo de Souza Mares,False,joao_paulo_de_souza_mares,bitello,Titular,False,True,540533
1,2022,B,1,Grêmio,gremio,42,Fernando,Fernando Henrique do,True,fernando,fernando,Reserva,False,True,550098
1,2022,B,1,Grêmio,gremio,48,Sarara,Mateus Ferreira,False,mateus_ferreira,sarara,Reserva,False,True,558959
1,2022,B,1,Grêmio,gremio,56,Thiago Rosa,Thiago Rosa da Conceicao,False,thiago_rosa_da_conceicao,thiago_rosa,Reserva,False,True,520878
1,2022,B,1,Grêmio,gremio,59,Gabriel Silva,Gabriel Silva Azeved,True,gabriel_silva,gabriel_silva,Reserva,False,True,590905
1,2022,B,1,Grêmio,gremio,99,Ricardo,Ricardo Viana Filho,False,ricardo_viana_filho,ricardo,Reserva,False,True,463839
1,2022,B,1,Ponte Preta,ponte_preta,1,Ygor,Ygor Vinhas Oliveira Lima,False,ygor_vinhas_oliveira_lima,ygor,Reserva,True,True,346401
1,2022,B,1,Ponte Preta,ponte_preta,3,Thiago Lopes,Thiago Oliveira Lopes,False,thiago_oliveira_lopes,thiago_lopes,Titular,False,True,544530
1,2022,B,1,Ponte Preta,ponte_preta,4,Fabricio,Fabricio Silva Dornellas,False,fabricio_silva_dornellas,fabricio,Titular,False,True,183874
1,2022,B,1,Ponte Preta,ponte_preta,5,Leo,Leonardo Naldi de Matos,False,leonardo_naldi_de_matos,leo,Titular,False,True,465048
1,2022,B,1,Ponte Preta,ponte_preta,7,Moises,Moises Ribeiro Santos,False,moises_ribeiro_santos,moises,Reserva,False,True,328812
1,2022,B,1,Ponte Preta,ponte_preta,8,Wesley,Wesley Lopes Beltrame,False,wesley_lopes_beltrame,wesley,Titular,False,True,170540
1,2022,B,1,Ponte Preta,ponte_preta,9,Danilo Mag ...,Danilo Gomes Magalhaes,False,danilo_gomes_magalhaes,danilo_mag,Titular,False,True,432201
1,2022,B,1,Ponte Preta,ponte_preta,12,Caique,Caique Franca Godoy,False,caique_franca_godoy,caique,Titular,True,True,313131
1,2022,B,1,Ponte Preta,ponte_preta,13,Bernardo,Bernardo de Paulo Silva,False,bernardo_de_paulo_silva,bernardo,Titular,False,True,414520
1,2022,B,1,Ponte Preta,ponte_preta,15,Artur,Artur Sergio Batista,True,artur,artur,Titular,False,True,377697
1,2022,B,1,Ponte Preta,ponte_preta,16,Reginaldo  ...,Reginaldo Ramires de,True,reginaldo,reginaldo,Reserva,False,True,545145
1,2022,B,1,Ponte Preta,ponte_preta,17,Pedro,Pedro Antonio Piment,True,pedro,pedro,Reserva,False,True,590697
1,2022,B,1,Ponte Preta,ponte_preta,18,Nicolas,Nicolas Miguel Morsch,False,nicolas_miguel_morsch,nicolas,Reserva,False,True,586672
1,2022,B,1,Ponte Preta,ponte_preta,19,Felipe Amaral,Felipe Amaral Casari,True,felipe_amaral,felipe_amaral,Titular,False,True,600810
1,2022,B,1,Ponte Preta,ponte_preta,20,Fessin,Jefferson Gabriel Na,True,fessin,fessin,Titular,False,True,538843
