partida_id,temporada,serie,rodada,clube,clube_slug,atleta,atleta_slug,num_camisa,minuto_nominal,acrescimo,minuto_continuo,periodo,tipo_de_gol
2,2022,B,1,Csa,csa,Cicero dos Santos,cicero_dos_santos,19,22,0,67,2T,Normal
2,2022,B,1,Criciúma,criciuma,Marcelo Hermes,marcelo_hermes,6,30,0,75,2T,Normal
3,2022,B,1,Sport,sport,Ray Andres Vanegas Zuniga,ray_andres_vanegas_zuniga,11,43,0,88,2T,Normal
4,2022,B,1,Brusque,brusque,Alex Sandro de Oliveira,alex_sandro_de_oliveira,9,34,0,79,2T,Normal
5,2022,B,1,Crb,crb,Fabio Augusto Luciano da Silva,fabio_augusto_luciano_da_silva,11,11,0,11,1T,Normal
5,2022,B,1,Novorizontino,novorizontino,Daniel de Oliveira Sertanejo,daniel_de_oliveira_sertanejo,10,36,0,36,1T,Normal
5,2022,B,1,Crb,crb,Iago Pereira Mendonça,iago_pereira_mendonca,4,20,0,65,2T,Gol Contra
5,2022,B,1,Novorizontino,novorizontino,Douglas Baggio de Oliveira Costa,douglas_baggio_de_oliveira_costa,20,90,1,91,2T,Normal
6,2022,B,1,Londrina,londrina,Jhonny Lucas Flora Barboza,jhonny_lucas_flora_barboza,8,34,0,34,1T,Normal
6,2022,B,1,Londrina,londrina,Gabriel dos Santos Francisco,gabriel_dos_santos_francisco,9,39,0,39,1T,Normal
7,2022,B,1,Vasco da Gama,vasco_da_gama,Raniel Santana de Vasconcelos,raniel_santana_de_vasconcelos,9,9,0,9,1T,Normal
7,2022,B,1,Vila Nova,vila_nova,Arthur Rodrigues Rezende,arthur_rodrigues_rezende,8,11,0,11,1T,Normal
8,2022,B,1,Bahia,bahia,Francisco Vitor Silva Costa,francisco_vitor_silva_costa,29,12,0,57,2T,Normal
8,2022,B,1,Bahia,bahia,Francisco Vitor Silva Costa,francisco_vitor_silva_costa,29,29,0,74,2T,Normal
9,2022,B,1,Tombense,tombense,Jociel Ferreira da Silva,jociel_ferreira_da_silva,99,12,0,57,2T,Penalty
9,2022,B,1,Operário,operario,Felipe Saraiva de Souza Silva,felipe_saraiva_de_souza_silva,17,41,0,86,2T,Normal
10,2022,B,1,Ituano,ituano,Aylon Darwin Tavella,aylon_darwin_tavella,10,31,0,76,2T,Normal
10,2022,B,1,Chapecoense,chapecoense,Derek Freitas Ribeiro,derek_freitas_ribeiro,20,44,0,89,2T,Normal
12,2022,B,2,Crb,crb,Richard Alexandre Birkheun Rodrigues,richard_alexandre_birkheun_rodrigues,7,10,0,10,1T,Normal
12,2022,B,2,Vasco da Gama,vasco_da_gama,Raniel Santana de Vasconcelos,raniel_santana_de_vasconcelos,9,39,0,39,1T,Normal
13,2022,B,2,Motivo: A1.14.  Atuar de maneira a mostrar desrespeito ao jogo - Por atuar de maneira a mostrar desrespeito ao jogo ao segurar seu,motivo_a1_14_atuar_de_maneira_a_mostrar_desrespeito_ao_jogo_por_atuar_de_maneira_a_mostrar_desrespeito_ao_jogo_ao_segurar_seu,Bahia/BA,bahia_ba,2,1,0,1,1T,Normal
13,2022,B,2,Bahia,bahia,Douglas do Espirito Santo Torres,douglas_do_espirito_santo_torres,2,12,0,12,1T,Normal
