partida_id,temporada,serie,rodada,clube,clube_slug,momento,periodo,minuto_nominal,acrescimo,minuto_continuo,num_entrou,atleta_entrou,atleta_entrou_slug,num_saiu,atleta_saiu,atleta_saiu_slug
43,2022,B,0,Náutico,nautico,INT,2T,45,0,45,22,Pedro Vitor Ferreira da Silva,pedro_vitor_ferreira_da_silva,7,Nilton Soares Rodrigues,nilton_soares_rodrigues
43,2022,B,0,Náutico,nautico,INT,2T,45,0,45,14,Ralph Machado Dias,ralph_machado_dias,17,Eduardo Antonio Machado Teix,eduardo_antonio_machado_teix
43,2022,B,0,Guarani,guarani,INT,2T,45,0,45,99,Ronald Pereira Martins,ronald_pereira_martins,7,Julio Cesar Czarneski,julio_cesar_czarneski
43,2022,B,0,Guarani,guarani,INT,2T,45,0,45,23,Bruno Aparecido Reis Ezequiel,bruno_aparecido_reis_ezequiel,32,Jose Rodrigo Andrade Ramos,jose_rodrigo_andrade_ramos
43,2022,B,0,Náutico,nautico,INT,2T,45,0,45,20,Victor Ferraz Macedo,victor_ferraz_macedo,2,Thassio Marques Melo da Silv,thassio_marques_melo_da_silv
43,2022,B,0,Guarani,guarani,2T,2T,25,0,70,36,Eliel da Silva,eliel_da_silva,16,Matheus Pereira de Souza,matheus_pereira_de_souza
43,2022,B,0,Náutico,nautico,2T,2T,32,0,77,21,Ewandro Felipe de Lima Costa,ewandro_felipe_de_lima_costa,11,Luis Phelipe de Souza Figuei,luis_phelipe_de_souza_figuei
43,2022,B,0,Náutico,nautico,2T,2T,32,0,77,19,Amarildo Aparecido de Souza,amarildo_aparecido_de_souza,9,Leonardo da Silva Passos,leonardo_da_silva_passos
43,2022,B,0,Guarani,guarani,2T,2T,33,0,78,97,Yago Cesar da Silva,yago_cesar_da_silva,17,Bruno Jose de Souza,bruno_jose_de_souza
43,2022,B,0,Guarani,guarani,2T,2T,33,0,78,34,Derlan de Oliveira Bento,derlan_de_oliveira_bento,8,Eduardo Luiz Person,eduardo_luiz_person
61,2022,B,0,Novorizontino,novorizontino,INT,2T,45,0,45,15,Leonardo Lima dos Santos,leonardo_lima_dos_santos,5,Jhony Douglas Santiago,jhony_douglas_santiago
61,2022,B,0,Ponte Preta,ponte_preta,INT,2T,45,0,45,20,Jefferson Gabriel Nascimento,jefferson_gabriel_nascimento,31,Douglas Santos da Silva,douglas_santos_da_silva
61,2022,B,0,Novorizontino,novorizontino,INT,2T,45,0,45,14,Felipe Rodrigues dos Santos,felipe_rodrigues_dos_santos,2,Felipe Albuquerque Felippi,felipe_albuquerque_felippi
61,2022,B,0,Ponte Preta,ponte_preta,INT,2T,45,0,45,22,Igor Marques Paciencia Cardoso,igor_marques_paciencia_cardoso,26,Jean Carlos dos Santos,jean_carlos_dos_santos
61,2022,B,0,Ponte Preta,ponte_preta,2T,2T,15,0,60,25,Wallisson Luiz Alves Maximo,wallisson_luiz_alves_maximo,19,Felipe Amaral Casarin Damasc,felipe_amaral_casarin_damasc
61,2022,B,0,Novorizontino,novorizontino,2T,2T,24,0,69,17,Cleone Santos Silva,cleone_santos_silva,11,Helio Cunha Borges,helio_cunha_borges
61,2022,B,0,Ponte Preta,ponte_preta,2T,2T,25,0,70,23,Gabriel Venancio de Almeida,gabriel_venancio_de_almeida,16,Reginaldo Ramires de Oliveir,reginaldo_ramires_de_oliveir
61,2022,B,0,Ponte Preta,ponte_preta,2T,2T,25,0,70,18,Leandro Barrios Rita dos Mar,leandro_barrios_rita_dos_mar,9,Danilo Gomes Magalhaes,danilo_gomes_magalhaes
61,2022,B,0,Novorizontino,novorizontino,2T,2T,30,0,75,21,Romulo Azevedo Simao,romulo_azevedo_simao,10,Diego Fabian Torres,diego_fabian_torres
61,2022,B,0,Novorizontino,novorizontino,2T,2T,30,0,75,19,Ronaldo Henrique Silva,ronaldo_henrique_silva,9,Welliton Soares Morais,welliton_soares_morais
146,2022,B,0,Chapecoense,chapecoense,1T,1T,5,0,5,38,Matheus Henrique Bianqui,matheus_henrique_bianqui,71,Gildson Pablo de Oliveira Si,gildson_pablo_de_oliveira_si
146,2022,B,0,Operário,operario,1T,1T,27,0,27,19,Jose Brandao Goncalves Junior,jose_brandao_goncalves_junior,9,Paulo Sergio Luiz de Souza,paulo_sergio_luiz_de_souza
146,2022,B,0,Operário,operario,1T,1T,39,0,39,17,Felipe Saraiva de Souza Silva,felipe_saraiva_de_souza_silva,11,Silvio Jose Cardoso Reis Jun,silvio_jose_cardoso_reis_jun
146,2022,B,0,Operário,operario,INT,2T,45,0,45,20,Javier Arley Reina Calvo,javier_arley_reina_calvo,8,Tomas Almino Bastos da Silva,tomas_almino_bastos_da_silva
146,2022,B,0,Chapecoense,chapecoense,2T,2T,23,0,68,32,Guilherme Natan de Lima,guilherme_natan_de_lima,8,Marcelo de Freitas Costa,marcelo_de_freitas_costa
146,2022,B,0,Chapecoense,chapecoense,2T,2T,23,0,68,77,Ederson Alves Ribeiro Silva,ederson_alves_ribeiro_silva,13,Carlos Alfredo Orejuela Quiñ,carlos_alfredo_orejuela_quin
146,2022,B,0,Operário,operario,2T,2T,26,0,71,14,Lucas Vital da Silva,lucas_vital_da_silva,3,Ronald Eugenio de Carvalho,ronald_eugenio_de_carvalho
146,2022,B,0,Operário,operario,2T,2T,26,0,71,18,Felipe Garcia Goncalves,felipe_garcia_goncalves,7,Ricardo Ribeiro de Lima,ricardo_ribeiro_de_lima
146,2022,B,0,Chapecoense,chapecoense,2T,2T,39,0,84,21,Rodrigo Araujo da Silva Filho,rodrigo_araujo_da_silva_filho,10,Tiago Real do Prado,tiago_real_do_prado
146,2022,B,0,Chapecoense,chapecoense,2T,2T,39,0,84,49,Claudio Henrique Paiva Porfi,claudio_henrique_paiva_porfi,7,Chrystian Amaral Barletta de,chrystian_amaral_barletta_de
244,2022,B,0,Operário,operario,1T,1T,17,0,17,22,Fernando Jose da Cunha Neto,fernando_jose_da_cunha_neto,10,Leandro Alves de Carvalho,leandro_alves_de_carvalho
244,2022,B,0,Operário,operario,INT,2T,45,0,45,19,Felipe Garcia Goncalves,felipe_garcia_goncalves,5,Rafael Batista,rafael_batista
244,2022,B,0,Operário,operario,INT,2T,45,0,45,21,Pablo Diogo Lopes de Lima,pablo_diogo_lopes_de_lima,11,Jean Carlo Bernieri Fernandes,jean_carlo_bernieri_fernandes
244,2022,B,0,Operário,operario,2T,2T,22,0,67,18,Paulo Sergio Luiz de Souza,paulo_sergio_luiz_de_souza,7,Paulo Victor Ferreira de Jesus,paulo_victor_ferreira_de_jesus
244,2022,B,0,Criciúma,criciuma,2T,2T,23,0,68,23,Gedeilson Vander Alves de Ol,gedeilson_vander_alves_de_ol,2,Cristovam Roberto Ribeiro da,cristovam_roberto_ribeiro_da
244,2022,B,0,Criciúma,criciuma,2T,2T,23,0,68,22,Italo Melo Oliveira,italo_melo_oliveira,10,Luiz Carlos Marques Lima,luiz_carlos_marques_lima
244,2022,B,0,Criciúma,criciuma,2T,2T,37,0,82,21,Fernando Viana Jardim Silva,fernando_viana_jardim_silva,9,Lohan dos Santos Freire,lohan_dos_santos_freire
244,2022,B,0,Criciúma,criciuma,2T,2T,37,0,82,18,Lucas da Silva Xavier,lucas_da_silva_xavier,11,Hygor Cleber Garcia Silva,hygor_cleber_garcia_silva
244,2022,B,0,Operário,operario,2T,2T,37,0,82,20,Getterson Alves dos Santos,getterson_alves_dos_santos,2,Arnaldo Manoel de Almeida,arnaldo_manoel_de_almeida
244,2022,B,0,Criciúma,criciuma,2T,2T,37,0,82,15,Renan Carvalho Areias,renan_carvalho_areias,5,Marcos Vinicius Cerato,marcos_vinicius_cerato
