data,ano,mes,termo_pesquisa,google_trends_score,pais
2015-01-01,2015,1,apostas_esportivas_agregado,2.27,BR
2015-02-01,2015,2,apostas_esportivas_agregado,1.83,BR
2015-03-01,2015,3,apostas_esportivas_agregado,2.54,BR
2015-04-01,2015,4,apostas_esportivas_agregado,3.31,BR
2015-05-01,2015,5,apostas_esportivas_agregado,2.06,BR
2015-06-01,2015,6,apostas_esportivas_agregado,2.12,BR
2015-07-01,2015,7,apostas_esportivas_agregado,3.53,BR
2015-08-01,2015,8,apostas_esportivas_agregado,2.95,BR
2015-09-01,2015,9,apostas_esportivas_agregado,2.0,BR
2015-10-01,2015,10,apostas_esportivas_agregado,2.85,BR
2015-11-01,2015,11,apostas_esportivas_agregado,2.09,BR
2015-12-01,2015,12,apostas_esportivas_agregado,1.7,BR
2016-01-01,2016,1,apostas_esportivas_agregado,2.57,BR
2016-02-01,2016,2,apostas_esportivas_agregado,1.0,BR
2016-03-01,2016,3,apostas_esportivas_agregado,1.2,BR
2016-04-01,2016,4,apostas_esportivas_agregado,2.21,BR
2016-05-01,2016,5,apostas_esportivas_agregado,2.05,BR
2016-06-01,2016,6,apostas_esportivas_agregado,3.19,BR
2016-07-01,2016,7,apostas_esportivas_agregado,2.16,BR
2016-08-01,2016,8,apostas_esportivas_agregado,1.84,BR
2016-09-01,2016,9,apostas_esportivas_agregado,4.2,BR
2016-10-01,2016,10,apostas_esportivas_agregado,2.9,BR
2016-11-01,2016,11,apostas_esportivas_agregado,3.19,BR
2016-12-01,2016,12,apostas_esportivas_agregado,1.49,BR
2017-01-01,2017,1,apostas_esportivas_agregado,2.54,BR
2017-02-01,2017,2,apostas_esportivas_agregado,3.17,BR
2017-03-01,2017,3,apostas_esportivas_agregado,2.3,BR
2017-04-01,2017,4,apostas_esportivas_agregado,3.63,BR
2017-05-01,2017,5,apostas_esportivas_agregado,3.09,BR
2017-06-01,2017,6,apostas_esportivas_agregado,3.44,BR
