atleta,serie,temporada,minuto_medio_anterior,minuto_medio_harmonizado,score_anterior,percentil_anterior,score_novo,percentil_novo,delta_percentil
Nino,A,2022,24.8,24.8,72.17,99.67,72.17,99.67,0.0
Gabriel Baralhas,A,2022,42.3,43.1,64.59,98.1,64.35,98.13,0.03
Paulo de Souza Junior,B,2022,22.9,39.8,50.75,95.26,45.81,93.17,-2.09
Anderson Wanderllan de Moraes Rodrigues,B,2022,22.0,37.0,46.8,93.31,42.7,90.6,-2.71
Igor Marques Paciencia Cardoso,B,2022,20.6,38.6,45.75,92.37,41.17,89.26,-3.11
Luiz Eduardo Barros Cavalcanti,B,2022,32.3,47.3,44.11,90.52,39.61,86.32,-4.2
Hygor Cleber Garcia Silva,B,2022,38.0,49.8,35.03,77.75,31.49,73.81,-3.94
Joseph Mauricio de Oliveira Figueiredo,B,2022,35.2,57.8,35.87,78.54,29.09,68.25,-10.29
Mateus da Silva Duarte,B,2022,25.0,50.7,36.4,78.89,28.69,67.47,-11.42
Romario Guilherme dos Santos,B,2022,41.0,64.0,23.25,51.45,16.35,31.29,-20.16
