serie,evento,temporada,partida_id,clube_slug,num_camisa,atleta,partida_sem_escalacao
A,cartoes,2026,170,remo,37,Jandir Breno Souza Silva,True
A,cartoes,2026,170,athletico_paranaense,10,Bruno Zapelli,True
A,cartoes,2026,170,remo,79,Marcelo Rodrigues Souza,True
A,cartoes,2026,170,athletico_paranaense,5,Antonio Feliphe Costa Silva,True
A,cartoes,2026,170,athletico_paranaense,21,Leonardo Caetano Silva,True
A,cartoes,2026,170,athletico_paranaense,63,Diogo Riquelme Rivas do Nascimento,True
A,cartoes,2026,221,palmeiras,22,Joaquin Piquerez Moreira,True
A,cartoes,2026,221,fluminense,23,Claudio Rodrigues Gomes,True
A,cartoes,2026,221,fluminense,17,Agustin Canobbio Graviz,True
A,cartoes,2026,221,palmeiras,56,Arthur Gabriel Santana Marcolino,True
A,cartoes,2026,221,fluminense,32,Luciano Federico Acosta,True
A,cartoes,2026,221,fluminense,8,Matheus Martinelli Lima,True
A,cartoes,2026,221,palmeiras,15,Gustavo Raul Gomez Portillo,True
A,gols,2026,170,remo,37,Jandir Breno Souza Silva,True
A,gols,2026,170,athletico_paranaense,9,Kevin Estiben Viveros Rodallega,True
A,gols,2026,170,athletico_paranaense,9,Kevin Estiben Viveros Rodallega,True
A,gols,2026,221,palmeiras,15,Gustavo Raul Gomez Portillo,True
A,gols,2026,221,fluminense,7,Givanildo Vieira de Sousa,True
A,gols,2026,221,palmeiras,18,Mauricio Magalhaes Prado,True
A,gols,2026,221,fluminense,90,Kevin Steven Serna Jaramillo,True
A,gols,2026,221,fluminense,14,German Ezequiel Cano,True
B,cartoes,2022,43,nautico,23,Leandro Carvalho da Silva,True
B,cartoes,2022,43,nautico,23,Leandro Carvalho da Silva,True
B,cartoes,2022,43,guarani,16,Matheus Pereira de Souza,True
B,cartoes,2022,43,guarani,8,Eduardo Luiz Person,True
B,cartoes,2022,43,nautico,3,Carlos Eduardo da Silva Santos,True
B,cartoes,2022,43,guarani,13,Diogo Mateus de Almeida Rodrigues Maciel,True
B,cartoes,2022,61,ponte_preta,16,Reginaldo Ramires de Oliveira Albertino,True
B,cartoes,2022,61,novorizontino,5,Jhony Douglas Santiago,True
B,cartoes,2022,61,novorizontino,2,Felipe Albuquerque Felippi,True
B,cartoes,2022,61,ponte_preta,19,Felipe Amaral Casarin Damasceno,True
B,cartoes,2022,61,ponte_preta,25,Wallisson Luiz Alves Maximo,True
B,cartoes,2022,61,ponte_preta,3,Thiago Oliveira Lopes,True
B,cartoes,2022,61,novorizontino,3,Rodolfo Filemon de Oliveira da Silva,True
B,cartoes,2022,61,novorizontino,15,Leonardo Lima dos Santos,True
B,cartoes,2022,146,operario,8,Tomas Almino Bastos da Silva,True
B,cartoes,2022,146,chapecoense,7,Chrystian Amaral Barletta de Almeida,True
B,cartoes,2022,146,chapecoense,10,Tiago Real do Prado,True
B,cartoes,2022,146,chapecoense,8,Marcelo de Freitas Costa,True
B,cartoes,2022,146,chapecoense,9,Pedro Henrique Perotti,True
B,cartoes,2022,146,operario,10,Giovanni Fernando Cofreste Pavani,True
B,cartoes,2022,146,chapecoense,27,Wesley Frazan Bernardo,True
B,cartoes,2022,244,operario,19,Felipe Garcia Goncalves,True
B,cartoes,2022,244,criciuma,8,Arilson Carlos Alves Baptista,True
B,cartoes,2022,244,criciuma,5,Marcos Vinicius Cerato,True
B,cartoes,2022,244,operario,4,Gustavo Alcino,True
B,cartoes,2023,88,chapecoense,22,Bruno Vinicius Simão Elesbão,True
B,cartoes,2023,88,sampaio_correa,17,Rafael Oliveira Silva,True
