serie,temporada,partida_id,rodada,data,confronto,motivo
A,2026,170,0,, x ,Súmula incompleta na origem (primeira página ausente)
A,2026,221,0,, x ,Súmula incompleta na origem (primeira página ausente)
B,2022,43,0,, x ,Súmula incompleta na origem (primeira página ausente)
B,2022,61,0,, x ,Súmula incompleta na origem (primeira página ausente)
B,2022,146,0,, x ,Súmula incompleta na origem (primeira página ausente)
B,2022,244,0,, x ,Súmula incompleta na origem (primeira página ausente)
B,2023,88,0,, x ,Súmula incompleta na origem (primeira página ausente)
B,2023,140,0,, x ,Súmula incompleta na origem (primeira página ausente)
B,2023,163,0,, x ,Súmula incompleta na origem (primeira página ausente)
B,2026,167,0,, x ,Súmula incompleta na origem (primeira página ausente)
B,2026,214,0,, x ,Súmula incompleta na origem (primeira página ausente)
