serie,temporada,partidas,partidas_com_escalacao,pct_extraido,atletas_relacionados,media_por_partida,fonte
A,2003,552,0,0.0,0,0.0,Sem súmula disponível
A,2004,552,0,0.0,0,0.0,Sem súmula disponível
A,2005,462,0,0.0,0,0.0,Sem súmula disponível
A,2006,380,0,0.0,0,0.0,Sem súmula disponível
A,2007,380,0,0.0,0,0.0,Sem súmula disponível
A,2008,380,0,0.0,0,0.0,Sem súmula disponível
A,2009,380,0,0.0,0,0.0,Sem súmula disponível
A,2010,380,0,0.0,0,0.0,Sem súmula disponível
A,2011,380,0,0.0,0,0.0,Sem súmula disponível
A,2012,380,0,0.0,0,0.0,Sem súmula disponível
A,2013,380,0,0.0,0,0.0,Sem súmula disponível
A,2014,380,0,0.0,0,0.0,Sem súmula disponível
A,2015,380,0,0.0,0,0.0,Sem súmula disponível
A,2016,379,0,0.0,0,0.0,Sem súmula disponível
A,2017,380,0,0.0,0,0.0,Sem súmula disponível
A,2018,380,0,0.0,0,0.0,Sem súmula disponível
A,2019,380,0,0.0,0,0.0,Sem súmula disponível
A,2020,380,0,0.0,0,0.0,Sem súmula disponível
A,2021,380,0,0.0,0,0.0,Sem súmula disponível
A,2022,380,0,0.0,0,0.0,Sem súmula disponível
A,2023,380,0,0.0,0,0.0,Sem súmula disponível
A,2024,380,0,0.0,0,0.0,Sem súmula disponível
A,2025,380,377,99.2,17259,45.8,Súmula CBF
A,2026,266,264,99.2,12097,45.8,Súmula CBF
B,2022,380,376,98.9,16522,43.9,Súmula CBF
B,2023,380,377,99.2,16652,44.2,Súmula CBF
B,2024,380,377,99.2,16794,44.5,Súmula CBF
B,2025,380,374,98.4,16756,44.8,Súmula CBF
B,2026,269,267,99.3,11910,44.6,Súmula CBF
