atleta,atleta_slug,status_juridico,sancao,fonte
Eduardo Bauermann,eduardo_bauermann,condenado,Suspenso por 360 dias / Suspenso por 360 dias (FIFA estendeu),Prints WhatsApp Autos MP-GO
Gabriel Tota,gabriel_tota,condenado,Banido do futebol,Autos MP-GO / Julgamento STJD
Igor Carius,igor_carius,condenado,Suspenso por 540 dias,Autos MP-GO
Joseph,joseph,condenado,Suspenso por 360 dias,Autos MP-GO / Confissao em Juizo
Mateusinho,mateusinho,condenado,Suspenso por 720 dias,Autos MP-GO / Julgamento STJD
Moraes Jr,moraes_jr,condenado,Suspenso por 720 dias,Depoimento em Juizo MP-GO
Nino Paraiba,nino_paraiba,condenado,Suspenso por 480 dias,Acordo ANPC MP-GO
Paulo Miranda,paulo_miranda,condenado,Suspenso por 720 dias,Autos MP-GO / Sumula CBF
Romario,romario,condenado,Banido do futebol,Autos MP-GO / Acordao STJD Processo 003/2023
Ygor Catatau,ygor_catatau,condenado,Banido do futebol,Autos MP-GO / Acordao STJD
