temporada,total_jogos,cartoes_total,cartoes_media,cartoes_std,cartoes_mediana,cartoes_amarelos,cartoes_vermelhos,cartoes_1T,cartoes_2T,minuto_medio_1o_cartao,faltas_media,faltas_std,taxa_cartao_por_falta,gols_media_por_jogo,gols_penalti,taxa_vermelho_pct,pct_cartoes_1T,penaltis_por_jogo
2003,552,,,,,,,,,,,,,2.885869565217391,,,,
2004,552,,,,,,,,,,,,,2.782608695652174,,,,
2005,462,,,,,,,,,,,,,3.134199134199134,,,,
2006,380,,,,,,,,,,,,,2.710526315789474,,,,
2007,380,,,,,,,,,,,,,2.7552631578947366,,,,
2008,380,,,,,,,,,,,,,2.723684210526316,,,,
2009,380,,,,,,,,,,,,,2.8789473684210525,,,,
2010,380,,,,,,,,,,,,,2.5736842105263156,,,,
2011,380,,,,,,,,,,,,,2.6763157894736844,,,,
2012,380,,,,,,,,,,,,,2.473684210526316,,,,
2013,380,,,,,,,,,,,,,2.463157894736842,,,,
2014,380,1774.0,4.781671159029649,2.2489128688260367,5.0,1692.0,82.0,641.0,1133.0,33.43396226415094,,,,2.263157894736842,62.0,0.0462,0.3613,0.1632
2015,380,1993.0,5.343163538873995,2.4451373001799985,5.0,1884.0,109.0,712.0,1281.0,29.31367292225201,29.194736842105264,7.505422749117221,0.1856743650550686,2.360526315789474,73.0,0.0547,0.3573,0.1921
2016,379,1827.0,4.911290322580645,2.2879460183472538,5.0,1741.0,86.0,671.0,1156.0,32.233870967741936,31.218997361477573,7.0887837515833825,0.15843835320700822,2.4063324538258577,79.0,0.0471,0.3673,0.2084
2017,380,1888.0,5.048128342245989,2.3335377931967747,5.0,1811.0,77.0,709.0,1179.0,30.622994652406415,31.41315789473684,7.096792952628005,0.1616858806975428,2.4289473684210527,89.0,0.0408,0.3755,0.2342
2018,380,1954.0,5.183023872679045,2.24696684016733,5.0,1853.0,101.0,656.0,1298.0,30.310344827586206,31.107894736842105,6.5802487533858915,0.1685975189984215,2.1763157894736844,72.0,0.0517,0.3357,0.1895
2019,380,1765.0,4.744623655913978,2.188390864302923,5.0,1668.0,97.0,591.0,1174.0,35.395161290322584,27.573684210526316,9.46189927244876,0.16495994833829652,2.305263157894737,94.0,0.055,0.3348,0.2474
2020,380,1777.0,4.776881720430108,2.2975911344302893,5.0,1670.0,107.0,610.0,1167.0,33.60215053763441,31.223684210526315,6.7636282518752715,0.15504991658647774,2.4842105263157896,111.0,0.0602,0.3433,0.2921
2021,380,1790.0,4.786096256684492,2.225183488252925,4.0,1709.0,81.0,609.0,1181.0,35.705882352941174,29.923684210526314,6.337222376261387,0.16248154169344936,2.2157894736842105,86.0,0.0453,0.3402,0.2263
2022,380,1971.0,5.2841823056300266,2.5462795311093163,5.0,1861.0,110.0,689.0,1282.0,33.06434316353887,26.88157894736842,5.859316162390326,0.19936559792325634,2.3815789473684212,98.0,0.0558,0.3496,0.2579
2023,380,2118.0,5.588390501319261,2.3947633114787714,5.0,2010.0,108.0,751.0,1367.0,30.569920844327175,28.673684210526314,6.37308341350781,0.1978421454350323,2.4894736842105263,95.0,0.051,0.3546,0.25
2024,380,2096.0,5.530343007915567,2.494650920543323,5.0,1968.0,128.0,730.0,1366.0,32.42480211081794,25.357142857142858,5.380677117685997,0.21975847210256155,2.444736842105263,76.0,0.0611,0.3483,0.2
