ano,fase_regulatoria,trends_score_medio,trends_score_max,pct_clubes_com_bet,pct_clubes_master,pct_jogos_ambos,exp_clube_medio,exp_total_medio
2015,Pre-Legalizacao,2.4375,3.53,0.0,0.0,0.0,0.0,0.0061
2016,Pre-Legalizacao,2.3333333333333335,4.2,0.0,0.0,0.0,0.0,0.0058
2017,Pre-Legalizacao,3.345,5.19,0.0,0.0,0.0,0.0,0.0084
2018,Legalizacao_Expansao,6.947500000000001,9.78,0.0,0.0,0.0,0.0,0.0174
2019,Legalizacao_Expansao,14.237499999999999,16.17,45.0,20.0,18.9,0.27,0.24035
2020,Legalizacao_Expansao,22.61583333333333,25.49,75.0,15.0,55.3,0.34875,0.316835
2021,Legalizacao_Expansao,41.91416666666667,48.22,85.0,50.0,71.6,0.575,0.54355
2022,Legalizacao_Expansao,72.48666666666666,100.0,90.0,50.0,80.5,0.6075,0.6447
2023,Regulamentacao,87.97083333333335,100.0,90.0,60.0,80.5,0.6375,0.7074
2024,Regulamentacao,94.58416666666666,100.0,90.0,80.0,80.5,0.74125,0.80565
2025,Mercado_Regulado,91.73083333333334,100.0,,,,,
