caso_id,operacao,temporada,serie,rodada,data,confronto,clube_mandante,clube_visitante,clube_atleta,atleta,atleta_slug,posicao,evento_alvo,minuto_alvo,mercado_aposta,executado_com_sucesso,evento_ocorreu,minuto_real,detalhes,situacao_stjd,fonte_documental
PM-001,Penalidade Maxima I,2022,B,38,2022-11-06,Vila Nova x Sport,Vila Nova,Sport,Vila Nova,Romario,romario,Volante,cometer_penalti_1t,1T,penalti_1t,False,False,,"Recebeu R$ 10 mil adiantados, nao foi escalado titular e tentou cooptar Gabriel Domingos. Penalti nao ocorreu; gerou cobranca da quadrilha e estopim da denuncia.",Banido do futebol,Autos MP-GO / Acordao STJD Processo 003/2023
PM-002,Penalidade Maxima I,2022,B,38,2022-11-05,Criciuma x Tombense,Criciuma,Tombense,Tombense,Joseph,joseph,Zagueiro,cometer_penalti_1t,1T,penalti_1t,True,True,23.0,Cometeu penalti aos 23' do 1T convertido pelo adversario. Recebeu R$ 10 mil de adiantamento.,Suspenso por 360 dias,Autos MP-GO / Confissao em Juizo
PM-003,Penalidade Maxima I,2022,B,38,2022-11-05,Sampaio Correa x Londrina,Sampaio Correa,Londrina,Sampaio Correa,Mateusinho,mateusinho,Lateral-Direito,cometer_penalti_1t,1T,penalti_1t,True,True,19.0,Cometeu penalti aos 19' do 1T convertido pelo Londrina. Negociou R$ 150 mil com a quadrilha.,Suspenso por 720 dias,Autos MP-GO / Julgamento STJD
PM-004,Penalidade Maxima I,2022,B,38,2022-11-05,Sampaio Correa x Londrina,Sampaio Correa,Londrina,Sampaio Correa,Ygor Catatau,ygor_catatau,Atacante,cometer_penalti_1t,1T,penalti_1t,True,True,19.0,Intermediou e garantiu a participacao de atletas no esquema de penalti no 1T.,Banido do futebol,Autos MP-GO / Acordao STJD
PM-005,Penalidade Maxima II,2022,B,23,2022-08-10,Nautico x Sampaio Correa,Nautico,Sampaio Correa,Sampaio Correa,Mateusinho,mateusinho,Lateral-Direito,cartao_amarelo_1t,1T,cartao_jogador,True,True,31.0,Recebeu cartao amarelo no 1T conforme acordado com apostadores.,Suspenso por 720 dias,Autos MP-GO
PM-006,Penalidade Maxima II,2022,A,25,2022-09-03,Juventude x Avai,Juventude,Avai,Juventude,Paulo Miranda,paulo_miranda,Zagueiro,cartao_amarelo_1t,1T,cartao_jogador,True,True,47.0,Cartao amarelo forçado aos 45+2' do 1T por retardar o reinicio do jogo.,Suspenso por 720 dias,Autos MP-GO / Sumula CBF
PM-007,Penalidade Maxima II,2022,A,26,2022-09-10,Palmeiras x Juventude,Palmeiras,Juventude,Juventude,Paulo Miranda,paulo_miranda,Zagueiro,cartao_amarelo_1t,1T,cartao_jogador,True,True,38.0,Cartao amarelo aos 38' do 1T por cometer falta temeraria.,Suspenso por 720 dias,Autos MP-GO / Sumula CBF
PM-008,Penalidade Maxima II,2022,A,27,2022-09-18,Juventude x Fortaleza,Juventude,Fortaleza,Juventude,Gabriel Tota,gabriel_tota,Meio-campo,cartao_amarelo_1t,1T,cartao_jogador,True,True,38.0,Cartao amarelo forçado aos 38' do 1T.,Banido do futebol,Autos MP-GO / Julgamento STJD
PM-009,Penalidade Maxima II,2022,A,28,2022-09-28,Fluminense x Juventude,Fluminense,Juventude,Juventude,Gabriel Tota,gabriel_tota,Meio-campo,cartao_amarelo_1t,1T,cartao_jogador,True,True,39.0,Cartao amarelo forçado aos 39' do 1T.,Banido do futebol,Autos MP-GO / Sumula CBF
PM-010,Penalidade Maxima II,2022,A,36,2022-11-05,Santos x Avai,Santos,Avai,Santos,Eduardo Bauermann,eduardo_bauermann,Zagueiro,cartao_amarelo,Jogo,cartao_jogador,False,False,,"Recebeu R$ 50 mil para tomar amarelo, mas nao tomou no jogo. Foi ameacado e prometeu tomar vermelho na rodada seguinte.",Suspenso por 360 dias (FIFA estendeu),Prints WhatsApp Autos MP-GO
PM-011,Penalidade Maxima II,2022,A,37,2022-11-10,Botafogo x Santos,Botafogo,Santos,Santos,Eduardo Bauermann,eduardo_bauermann,Zagueiro,cartao_vermelho,Fim de Jogo,expulsao_jogador,True,True,95.0,Expulso apos o apito final por ofender deliberadamente o arbitro Braulio da Silva Machado para pagar a divida com a quadrilha.,Suspenso por 360 dias,Sumula CBF / Autos MP-GO
PM-012,Penalidade Maxima II,2022,A,32,2022-10-16,Ceara x Cuiaba,Ceara,Cuiaba,Ceara,Nino Paraiba,nino_paraiba,Lateral-Direito,cartao_amarelo,Jogo,cartao_jogador,True,True,45.0,Recebeu amarelo no final do 1T. Fez acordo de delacao/nao persecucao penal.,Suspenso por 480 dias,Acordo ANPC MP-GO
PM-013,Penalidade Maxima II,2022,A,36,2022-11-05,Goias x Juventude,Goias,Juventude,Juventude,Moraes Jr,moraes_jr,Lateral-Esquerdo,cartao_amarelo_1t,1T,cartao_jogador,True,True,31.0,Recebeu cartao amarelo aos 31' do 1T. Confessou e firmou acordo com o MP-GO.,Suspenso por 720 dias,Depoimento em Juizo MP-GO
PM-014,Penalidade Maxima II,2022,A,36,2022-11-05,Cuiaba x Palmeiras,Cuiaba,Palmeiras,Cuiaba,Igor Carius,igor_carius,Lateral-Esquerdo,cartao_amarelo_1t,1T,cartao_jogador,True,True,46.0,Recebeu amarelo nos acrescimos do 1T (45+1'). Denunciado criminalmente.,Suspenso por 540 dias,Autos MP-GO
