partida_id,temporada,serie,rodada,data,clube_mandante,clube_visitante,total_cartoes,cartoes_1t,prop_cartoes_1t,cartoes_30m,penaltis_1t,match_anomaly_score,percentil_anomalia,prioridade_triagem
7998,2022,A,36,2022-11-05,Bragantino,America-MG,8,8,1.0,3,2,68.07,100.0,Alta Prioridade de Escrutínio
8082,2023,A,6,2023-05-14,Corinthians,Sao Paulo,6,6,1.0,4,1,63.58,99.98,Média Prioridade
331,2022,B,34,2022-10-08,Ponte Preta,Vila Nova,16,10,0.625,11,0,61.38,99.95,Média Prioridade
331,2023,B,34,2023-10-27,Guarani,Botafogo,16,10,0.625,11,0,61.38,99.95,Média Prioridade
7110,2020,A,23,2020-11-28,Santos,Sport,6,6,1.0,4,1,61.37,99.91,Média Prioridade
146,2023,B,15,2023-07-02,Sport,Ceará,12,6,0.5,11,1,58.47,99.88,Média Prioridade
146,2022,B,0,,,,12,6,0.5,11,1,58.47,99.88,Média Prioridade
81,2022,B,9,2022-05-24,Ponte Preta,Chapecoense,12,8,0.6666666666666666,7,1,58.29,99.84,Média Prioridade
81,2023,B,9,2023-05-28,Ponte Preta,Vila Nova,12,8,0.6666666666666666,7,1,58.29,99.84,Média Prioridade
8345,2023,A,32,2023-11-22,Fluminense,Sao Paulo,11,7,0.6363636363636364,7,0,58.0,99.8,Média Prioridade
134,2023,B,14,2023-06-28,Ituano,Ponte Preta,11,7,0.6363636363636364,7,1,56.52,99.77,Média Prioridade
134,2022,B,14,2022-06-25,Criciúma,Vila Nova,11,7,0.6363636363636364,7,1,56.52,99.77,Média Prioridade
164,2022,B,17,2022-07-09,Criciúma,Vasco da Gama,16,8,0.5,8,2,54.29,99.73,Média Prioridade
164,2023,B,17,2023-08-23,Botafogo,Chapecoense,16,8,0.5,8,2,54.29,99.73,Média Prioridade
135,2023,B,14,2023-06-27,Novorizontino,Botafogo,16,8,0.5,11,0,54.0,99.68,Média Prioridade
135,2022,B,14,2022-07-05,Ituano,Cruzeiro Saf,16,8,0.5,11,0,54.0,99.68,Média Prioridade
