caso_id,temporada,serie,rodada,confronto,atleta,evento_alvo,evento_ocorreu,executado_com_sucesso,minuto_real,match_anomaly_score,match_percentil,athlete_anomaly_score,athlete_percentil,status_triagem
PM-001,2022,B,38,Vila Nova x Sport,Romario,cometer_penalti_1t,False,False,,25.95,76.6,23.27,51.32,Detectado (Média Prioridade / Top 25%)
PM-002,2022,B,38,Criciuma x Tombense,Joseph,cometer_penalti_1t,True,True,23.0,24.51,72.59,35.93,78.51,Detectado (Média Prioridade / Top 25%)
PM-003,2022,B,38,Sampaio Correa x Londrina,Mateusinho,cometer_penalti_1t,True,True,19.0,13.86,29.01,36.48,78.89,Detectado (Média Prioridade / Top 25%)
PM-004,2022,B,38,Sampaio Correa x Londrina,Ygor Catatau,cometer_penalti_1t,True,True,19.0,13.86,29.01,35.09,77.75,Detectado (Média Prioridade / Top 25%)
PM-005,2022,B,23,Nautico x Sampaio Correa,Mateusinho,cartao_amarelo_1t,True,True,31.0,15.82,37.8,36.48,78.89,Detectado (Média Prioridade / Top 25%)
PM-006,2022,A,25,Juventude x Avai,Paulo Miranda,cartao_amarelo_1t,True,True,47.0,29.45,84.51,50.93,95.29,Detectado (Alta Prioridade / Top 10%)
PM-007,2022,A,26,Palmeiras x Juventude,Paulo Miranda,cartao_amarelo_1t,True,True,38.0,13.07,24.87,50.93,95.29,Detectado (Alta Prioridade / Top 10%)
PM-008,2022,A,27,Juventude x Fortaleza,Gabriel Tota,cartao_amarelo_1t,True,True,38.0,19.56,54.81,64.94,98.16,Detectado (Alta Prioridade / Top 10%)
PM-009,2022,A,28,Fluminense x Juventude,Gabriel Tota,cartao_amarelo_1t,True,True,39.0,13.7,28.16,64.94,98.16,Detectado (Alta Prioridade / Top 10%)
PM-010,2022,A,36,Santos x Avai,Eduardo Bauermann,cartao_amarelo,False,False,,25.22,75.01,44.19,90.46,Detectado (Alta Prioridade / Top 10%)
PM-011,2022,A,37,Botafogo x Santos,Eduardo Bauermann,cartao_vermelho,True,True,95.0,21.62,62.69,44.19,90.46,Detectado (Alta Prioridade / Top 10%)
PM-012,2022,A,32,Ceara x Cuiaba,Nino Paraiba,cartao_amarelo,True,True,45.0,26.84,79.01,72.35,99.67,Detectado (Alta Prioridade / Top 10%)
PM-013,2022,A,36,Goias x Juventude,Moraes Jr,cartao_amarelo_1t,True,True,31.0,32.77,89.25,46.88,93.29,Detectado (Alta Prioridade / Top 10%)
PM-014,2022,A,36,Cuiaba x Palmeiras,Igor Carius,cartao_amarelo_1t,True,True,46.0,9.03,9.59,45.86,92.37,Detectado (Alta Prioridade / Top 10%)
