caso_id,temporada,serie,rodada,confronto,atleta,evento_alvo,evento_ocorreu,status_atleta,score_partida_heuristico,prob_partida_ml,classe_partida_ml,score_atleta_heuristico,prob_atleta_ml,classe_atleta_ml,status_deteccao_ml
PM-001,2022,B,38,Vila Nova x Sport,Romario,cometer_penalti_1t,False,nao_resolvido,19.34,0.9103,Classe 2: Alto Risco / Alerta Investigativo,,,Atleta não avaliável (nao_resolvido),Detectado (Alto Risco / Alerta Investigativo)
PM-002,2022,B,38,Criciuma x Tombense,Joseph,cometer_penalti_1t,True,resolvido,1.35,0.7979,Classe 2: Alto Risco / Alerta Investigativo,29.13,0.8169,Classe 2: Extrema Anomalia / Alto Risco,Detectado (Alto Risco / Alerta Investigativo)
PM-003,2022,B,38,Sampaio Correa x Londrina,Mateusinho,cometer_penalti_1t,True,resolvido,0.0,0.6875,Classe 2: Alto Risco / Alerta Investigativo,28.75,0.8143,Classe 2: Extrema Anomalia / Alto Risco,Detectado (Alto Risco / Alerta Investigativo)
PM-004,2022,B,38,Sampaio Correa x Londrina,Ygor Catatau,cometer_penalti_1t,True,resolvido,0.0,0.6875,Classe 2: Alto Risco / Alerta Investigativo,25.92,0.8172,Classe 2: Extrema Anomalia / Alto Risco,Detectado (Alto Risco / Alerta Investigativo)
PM-005,2022,B,31,Nautico x Sampaio Correa,Mateusinho,cartao_amarelo_1t,True,resolvido,10.88,0.6708,Classe 2: Alto Risco / Alerta Investigativo,28.75,0.8143,Classe 2: Extrema Anomalia / Alto Risco,Detectado (Alto Risco / Alerta Investigativo)
PM-006,2022,A,25,Juventude x Avai,Paulo Miranda,cartao_amarelo_1t,True,resolvido,15.41,0.813,Classe 2: Alto Risco / Alerta Investigativo,42.08,0.8547,Classe 2: Extrema Anomalia / Alto Risco,Detectado (Alto Risco / Alerta Investigativo)
PM-007,2022,A,26,Palmeiras x Juventude,Paulo Miranda,cartao_amarelo_1t,True,resolvido,1.35,0.7393,Classe 2: Alto Risco / Alerta Investigativo,42.08,0.8547,Classe 2: Extrema Anomalia / Alto Risco,Detectado (Alto Risco / Alerta Investigativo)
PM-008,2022,A,27,Juventude x Fortaleza,Gabriel Tota,cartao_amarelo_1t,True,abaixo_do_minimo_de_cartoes,4.05,0.5367,Classe 1: Monitoramento / Risco Moderado,,,Atleta não avaliável (abaixo_do_minimo_de_cartoes),Detectado (Risco Moderado / Triagem ML)
PM-009,2022,A,28,Fluminense x Juventude,Gabriel Tota,cartao_amarelo_1t,True,abaixo_do_minimo_de_cartoes,0.0,0.6639,Classe 2: Alto Risco / Alerta Investigativo,,,Atleta não avaliável (abaixo_do_minimo_de_cartoes),Detectado (Alto Risco / Alerta Investigativo)
PM-010,2022,A,36,Santos x Avai,Eduardo Bauermann,cartao_amarelo,False,resolvido,4.4,0.7436,Classe 2: Alto Risco / Alerta Investigativo,31.66,0.8452,Classe 2: Extrema Anomalia / Alto Risco,Detectado (Alto Risco / Alerta Investigativo)
PM-011,2022,A,37,Botafogo x Santos,Eduardo Bauermann,cartao_vermelho,True,resolvido,6.03,0.5443,Classe 1: Monitoramento / Risco Moderado,31.66,0.8452,Classe 2: Extrema Anomalia / Alto Risco,Detectado (Alto Risco / Alerta Investigativo)
PM-012,2022,A,32,Ceara x Cuiaba,Nino Paraiba,cartao_amarelo,True,resolvido,15.38,0.877,Classe 2: Alto Risco / Alerta Investigativo,17.15,0.8333,Classe 2: Extrema Anomalia / Alto Risco,Detectado (Alto Risco / Alerta Investigativo)
PM-013,2022,A,36,Goias x Juventude,Moraes Jr,cartao_amarelo_1t,True,resolvido,18.2,0.8678,Classe 2: Alto Risco / Alerta Investigativo,32.07,0.8519,Classe 2: Extrema Anomalia / Alto Risco,Detectado (Alto Risco / Alerta Investigativo)
PM-014,2022,A,36,Cuiaba x Palmeiras,Igor Carius,cartao_amarelo_1t,True,nao_resolvido,2.32,0.703,Classe 2: Alto Risco / Alerta Investigativo,,,Atleta não avaliável (nao_resolvido),Detectado (Alto Risco / Alerta Investigativo)
