partida_id,temporada,serie,rodada,data,clube_mandante,clube_visitante,total_cartoes,cartoes_1t,penaltis_1t,exposure_total_partida,iforest_outlier,prob_suspeicao_ml,classificacao_ml,match_anomaly_score
223,2022,B,23,2022-08-10,Náutico,Crb,2,0,0,0.5,1,0.9626,Classe 2: Alto Risco / Alerta Investigativo,15.82
223,2023,B,23,2023-08-12,Criciúma,Londrina,2,0,0,0.5,1,0.9626,Classe 2: Alto Risco / Alerta Investigativo,15.82
378,2023,B,38,2023-11-25,Chapecoense,Vitória,4,0,0,0.5,0,0.9291,Classe 2: Alto Risco / Alerta Investigativo,13.86
378,2022,B,38,2022-11-05,Sampaio Corrêa,Londrina,4,0,0,0.5,0,0.9291,Classe 2: Alto Risco / Alerta Investigativo,13.86
217,2023,B,22,2023-08-06,Ceará,Abc,6,2,0,0.5,0,0.9145,Classe 2: Alto Risco / Alerta Investigativo,24.51
374,2023,B,38,2023-11-25,Botafogo,Londrina,6,2,0,0.5,0,0.9145,Classe 2: Alto Risco / Alerta Investigativo,24.51
374,2022,B,38,2022-11-05,Criciúma,Tombense,6,2,0,0.5,0,0.9145,Classe 2: Alto Risco / Alerta Investigativo,24.51
217,2022,B,22,2022-07-31,Vasco da Gama,Chapecoense,6,2,0,0.5,0,0.9145,Classe 2: Alto Risco / Alerta Investigativo,24.51
116,2023,B,12,2023-06-11,Vitória,Criciúma,6,0,0,0.5,0,0.9049,Classe 2: Alto Risco / Alerta Investigativo,23.05
116,2022,B,12,2022-06-11,Operário,Bahia,6,0,0,0.5,0,0.9049,Classe 2: Alto Risco / Alerta Investigativo,23.05
44,2023,B,5,2023-05-05,Botafogo,Vitória,6,0,0,0.5,0,0.9049,Classe 2: Alto Risco / Alerta Investigativo,23.05
44,2022,B,5,2022-05-01,Criciúma,Novorizontino,6,0,0,0.5,0,0.9049,Classe 2: Alto Risco / Alerta Investigativo,23.05
222,2023,B,23,2023-08-12,Vila Nova,Avaí,4,1,0,0.5,0,0.8993,Classe 2: Alto Risco / Alerta Investigativo,20.07
222,2022,B,23,2022-08-09,Csa,Brusque,4,1,0,0.5,0,0.8993,Classe 2: Alto Risco / Alerta Investigativo,20.07
380,2023,B,38,2023-11-25,Abc,Vila Nova,11,2,0,0.5,0,0.8939,Classe 2: Alto Risco / Alerta Investigativo,25.95
380,2022,B,38,2022-11-06,Vila Nova,Sport,11,2,0,0.5,0,0.8939,Classe 2: Alto Risco / Alerta Investigativo,25.95
46,2023,B,5,2023-05-07,Sport,Guarani,5,0,0,0.5,0,0.8829,Classe 2: Alto Risco / Alerta Investigativo,18.33
46,2022,B,5,2022-04-29,Londrina,Vila Nova,5,0,0,0.5,0,0.8829,Classe 2: Alto Risco / Alerta Investigativo,18.33
340,2023,B,34,2023-10-26,Abc,Avaí,6,0,0,0.5,0,0.8647,Classe 2: Alto Risco / Alerta Investigativo,17.95
340,2022,B,34,2022-10-08,Chapecoense,Operário,6,0,0,0.5,0,0.8647,Classe 2: Alto Risco / Alerta Investigativo,17.95
24,2023,B,3,2023-04-29,Botafogo,Crb,3,0,1,0.5,1,0.8626,Classe 2: Alto Risco / Alerta Investigativo,24.3
24,2022,B,3,2022-04-23,Criciúma,Sport,3,0,1,0.5,1,0.8626,Classe 2: Alto Risco / Alerta Investigativo,24.3
296,2022,B,30,2022-09-13,Operário,Guarani,6,2,0,0.5,0,0.8622,Classe 2: Alto Risco / Alerta Investigativo,24.51
104,2023,B,11,2023-06-06,Botafogo,Ituano,6,2,0,0.5,0,0.8622,Classe 2: Alto Risco / Alerta Investigativo,24.51
104,2022,B,11,2022-06-07,Criciúma,Sampaio Corrêa,6,2,0,0.5,0,0.8622,Classe 2: Alto Risco / Alerta Investigativo,24.51
296,2023,B,30,2023-09-29,Vitória,Tombense,6,2,0,0.5,0,0.8622,Classe 2: Alto Risco / Alerta Investigativo,24.51
114,2022,B,12,2022-06-11,Brusque,Ituano,3,0,0,0.5,1,0.8585,Classe 2: Alto Risco / Alerta Investigativo,21.58
114,2023,B,12,2023-06-10,Ituano,Atlético,3,0,0,0.5,1,0.8585,Classe 2: Alto Risco / Alerta Investigativo,21.58
62,2022,B,7,2022-05-14,Csa,Operário,4,1,0,0.5,0,0.8426,Classe 2: Alto Risco / Alerta Investigativo,14.61
62,2023,B,7,2023-05-19,Atlético,Avaí,4,1,0,0.5,0,0.8426,Classe 2: Alto Risco / Alerta Investigativo,14.61
7999,2022,A,36,2022-11-05,Goias,Juventude,10,5,0,0.8562,0,0.8285,Classe 2: Alto Risco / Alerta Investigativo,32.77
150,2023,B,15,2023-07-01,Crb,Londrina,6,0,1,0.5,0,0.8197,Classe 2: Alto Risco / Alerta Investigativo,33.05
150,2022,B,15,2022-06-28,Vila Nova,Ponte Preta,6,0,1,0.5,0,0.8197,Classe 2: Alto Risco / Alerta Investigativo,33.05
344,2023,B,35,2023-11-04,Botafogo,Ceará,5,0,0,0.5,1,0.8173,Classe 2: Alto Risco / Alerta Investigativo,24.5
344,2022,B,35,2022-10-15,Criciúma,Ituano,5,0,0,0.5,1,0.8173,Classe 2: Alto Risco / Alerta Investigativo,24.5
125,2022,B,13,2022-06-18,Novorizontino,Tombense,2,0,0,0.5,0,0.8144,Classe 2: Alto Risco / Alerta Investigativo,9.54
125,2023,B,13,2023-06-25,Mirassol,Abc,2,0,0,0.5,0,0.8144,Classe 2: Alto Risco / Alerta Investigativo,9.54
108,2022,B,11,2022-06-08,Bahia,Sport,2,0,0,0.5,0,0.8144,Classe 2: Alto Risco / Alerta Investigativo,9.54
108,2023,B,11,2023-06-06,Chapecoense,Vila Nova,2,0,0,0.5,0,0.8144,Classe 2: Alto Risco / Alerta Investigativo,9.54
109,2023,B,11,2023-06-06,Tombense,Vitória,2,0,0,0.5,0,0.8144,Classe 2: Alto Risco / Alerta Investigativo,9.54
109,2022,B,11,2022-06-08,Cruzeiro Saf,Crb,2,0,0,0.5,0,0.8144,Classe 2: Alto Risco / Alerta Investigativo,9.54
137,2022,B,14,2022-06-24,Vasco da Gama,Operário,6,2,0,0.5,0,0.8132,Classe 2: Alto Risco / Alerta Investigativo,19.41
137,2023,B,14,2023-06-28,Ceará,Avaí,6,2,0,0.5,0,0.8132,Classe 2: Alto Risco / Alerta Investigativo,19.41
131,2023,B,14,2023-06-28,Guarani,Mirassol,6,1,0,0.5,0,0.8105,Classe 2: Alto Risco / Alerta Investigativo,18.24
131,2022,B,14,2022-06-23,Ponte Preta,Sampaio Corrêa,6,1,0,0.5,0,0.8105,Classe 2: Alto Risco / Alerta Investigativo,18.24
