temporada,serie,clube_slug,atleta,atleta_slug,total_cartoes,cartoes_1t,prop_cartoes_1t,minuto_medio_partida,iforest_outlier,prob_suspeicao_ml,classificacao_ml,athlete_anomaly_score,atleta_pseudonimo
2022,A,juventude,Paulo Miranda,paulo_miranda,5,3,0.6,35.8,0,0.8547,Classe 2: Extrema Anomalia / Alto Risco,42.08,atl_2603c5000de4f26a
2015,A,internacional,atl_848240b4cf3878f6,atl_848240b4cf3878f6,4,2,0.5,36.5,0,0.8536,Classe 2: Extrema Anomalia / Alto Risco,35.52,atl_848240b4cf3878f6
2022,A,juventude,atl_47a2fe1c11746310,atl_47a2fe1c11746310,4,2,0.5,48.0,0,0.8519,Classe 2: Extrema Anomalia / Alto Risco,32.07,atl_47a2fe1c11746310
2023,B,guarani,atl_999c37e097dd466d,atl_999c37e097dd466d,4,2,0.5,48.0,0,0.8519,Classe 2: Extrema Anomalia / Alto Risco,32.07,atl_999c37e097dd466d
2021,A,sport,atl_2b3dadaa982af00a,atl_2b3dadaa982af00a,4,2,0.5,48.0,0,0.8519,Classe 2: Extrema Anomalia / Alto Risco,32.07,atl_2b3dadaa982af00a
2022,A,santos,atl_42836c48cec38835,atl_42836c48cec38835,8,4,0.5,56.5,0,0.8452,Classe 2: Extrema Anomalia / Alto Risco,31.66,atl_42836c48cec38835
2024,A,cuiaba,atl_a817acc143b705e8,atl_a817acc143b705e8,8,4,0.5,56.5,0,0.8452,Classe 2: Extrema Anomalia / Alto Risco,31.66,atl_a817acc143b705e8
2016,A,sport,atl_c4a931efb55ce0d8,atl_c4a931efb55ce0d8,4,2,0.5,43.0,0,0.8438,Classe 2: Extrema Anomalia / Alto Risco,33.57,atl_c4a931efb55ce0d8
2015,A,atletico_mg,atl_9d8b5ecd20dd8be2,atl_9d8b5ecd20dd8be2,5,3,0.6,35.2,0,0.8419,Classe 2: Extrema Anomalia / Alto Risco,42.26,atl_9d8b5ecd20dd8be2
2023,A,gremio,atl_0aaaa17c878d4e89,atl_0aaaa17c878d4e89,4,2,0.5,47.8,0,0.8409,Classe 2: Extrema Anomalia / Alto Risco,32.13,atl_0aaaa17c878d4e89
2020,A,goias,atl_b436693ec6e70255,atl_b436693ec6e70255,4,2,0.5,41.2,0,0.8392,Classe 2: Extrema Anomalia / Alto Risco,34.11,atl_b436693ec6e70255
