corte_percentil,score_minimo,sinalizados,pct_da_base,alertas_por_rodada,casos_capturados,casos_conhecidos,sensibilidade,alertas_por_caso_capturado,ganho_sobre_aleatorio,p_valor_vs_acaso
99.9,45.93,5,0.11,0.01,0,13,0.0,,0.0,1.0
99.5,33.5,24,0.53,0.05,0,13,0.0,,0.0,1.0
99.0,30.16,44,0.97,0.1,0,13,0.0,,0.0,1.0
98.0,25.92,91,2.0,0.2,0,13,0.0,,0.0,1.0
97.0,23.44,137,3.01,0.3,0,13,0.0,,0.0,1.0
96.0,21.83,183,4.01,0.4,0,13,0.0,,0.0,1.0
95.0,20.94,229,5.02,0.5,0,13,0.0,,0.0,1.0
92.5,18.76,343,7.52,0.75,0,13,0.0,,0.0,1.0
90.0,16.6,458,10.05,1.0,1,13,0.0769,458.0,0.77,0.748
85.0,14.19,685,15.03,1.5,3,13,0.2308,228.3,1.54,0.3089
80.0,12.2,914,20.05,2.0,4,13,0.3077,228.5,1.53,0.254
75.0,10.64,1141,25.03,2.49,4,13,0.3077,285.2,1.23,0.4167
70.0,9.34,1369,30.03,2.99,4,13,0.3077,342.2,1.02,0.5805
60.0,7.26,1824,40.01,3.98,4,13,0.3077,456.0,0.77,0.8319
50.0,5.4,2280,50.01,4.98,5,13,0.3846,456.0,0.77,0.8671
