corte_percentil,score_minimo,sinalizados,pct_da_base,alertas_por_temporada_serie,casos_capturados,casos_conhecidos,sensibilidade,ganho_sobre_aleatorio,p_valor_vs_acaso
99.9,76.27,4,0.11,0.3,0,7,0.0,0.0,1.0
99.5,71.16,19,0.53,1.6,0,7,0.0,0.0,1.0
99.0,66.97,36,1.0,3.0,0,7,0.0,0.0,1.0
98.0,63.98,72,2.01,6.0,0,7,0.0,0.0,1.0
97.0,57.82,108,3.01,9.0,0,7,0.0,0.0,1.0
96.0,52.31,144,4.02,12.0,0,7,0.0,0.0,1.0
95.0,49.33,180,5.02,15.0,0,7,0.0,0.0,1.0
92.5,44.8,270,7.53,22.5,0,7,0.0,0.0,1.0
90.0,41.95,359,10.01,29.9,1,7,0.1429,1.43,0.5224
85.0,38.97,539,15.03,44.9,1,7,0.1429,0.95,0.6806
80.0,35.85,718,20.02,59.8,1,7,0.1429,0.71,0.791
75.0,31.97,898,25.04,74.8,2,7,0.2857,1.14,0.5563
70.0,29.99,1075,29.98,89.6,3,7,0.4286,1.43,0.3524
60.0,24.76,1436,40.04,119.7,6,7,0.8571,2.14,0.0189
50.0,21.55,1794,50.03,149.5,6,7,0.8571,1.71,0.0625
