protocolo,nivel,cenario,grupo_avaliado,indice,positivos_no_treino,prob_suspeicao,percentil_prob,iforest_outlier,classe,cenario_agregado
in_sample,partida,todos_os_positivos,PM-001,4178,13,0.9103,100.0,1,Classe 2,todos_os_positivos
in_sample,partida,todos_os_positivos,PM-002,4172,13,0.7979,99.43,0,Classe 2,todos_os_positivos
in_sample,partida,todos_os_positivos,PM-003,4176,13,0.6875,95.72,0,Classe 2,todos_os_positivos
in_sample,partida,todos_os_positivos,PM-004,4176,13,0.6875,95.72,0,Classe 2,todos_os_positivos
in_sample,partida,todos_os_positivos,PM-005,4101,13,0.6708,93.46,0,Classe 2,todos_os_positivos
in_sample,partida,todos_os_positivos,PM-006,2899,13,0.813,99.5,0,Classe 2,todos_os_positivos
in_sample,partida,todos_os_positivos,PM-007,2913,13,0.7393,98.14,0,Classe 2,todos_os_positivos
in_sample,partida,todos_os_positivos,PM-008,2924,13,0.5367,83.55,0,Classe 1,todos_os_positivos
in_sample,partida,todos_os_positivos,PM-009,2933,13,0.6639,93.2,0,Classe 2,todos_os_positivos
in_sample,partida,todos_os_positivos,PM-010,3010,13,0.7436,98.35,0,Classe 2,todos_os_positivos
in_sample,partida,todos_os_positivos,PM-011,3028,13,0.5443,84.34,0,Classe 1,todos_os_positivos
in_sample,partida,todos_os_positivos,PM-012,2971,13,0.877,99.98,0,Classe 2,todos_os_positivos
in_sample,partida,todos_os_positivos,PM-013,3012,13,0.8678,99.93,0,Classe 2,todos_os_positivos
in_sample,partida,todos_os_positivos,PM-014,3017,13,0.703,96.16,0,Classe 2,todos_os_positivos
in_sample,atleta,todos_os_positivos,Joseph,1166,7,0.8169,98.94,0,Classe 2,todos_os_positivos
in_sample,atleta,todos_os_positivos,Mateusinho,1194,7,0.8143,98.73,0,Classe 2,todos_os_positivos
in_sample,atleta,todos_os_positivos,Ygor Catatau,1380,7,0.8172,99.03,0,Classe 2,todos_os_positivos
in_sample,atleta,todos_os_positivos,Paulo Miranda,362,7,0.8547,100.0,0,Classe 2,todos_os_positivos
in_sample,atleta,todos_os_positivos,Eduardo Bauermann,947,7,0.8452,99.86,0,Classe 2,todos_os_positivos
in_sample,atleta,todos_os_positivos,Nino Paraiba,2405,7,0.8333,99.51,0,Classe 2,todos_os_positivos
in_sample,atleta,todos_os_positivos,Moraes Jr,906,7,0.8519,99.95,0,Classe 2,todos_os_positivos
leave_one_out,partida,PM-001,PM-001,4178,12,0.5314,80.63,1,Classe 2,todas_as_dobras
leave_one_out,partida,PM-002,PM-002,4172,12,0.6388,89.84,0,Classe 2,todas_as_dobras
leave_one_out,partida,PM-003,PM-003,4176,13,0.6875,95.72,0,Classe 2,todas_as_dobras
leave_one_out,partida,PM-004,PM-004,4176,13,0.6875,95.72,0,Classe 2,todas_as_dobras
leave_one_out,partida,PM-005,PM-005,4101,12,0.1054,9.48,0,Classe 0,todas_as_dobras
leave_one_out,partida,PM-006,PM-006,2899,12,0.3857,60.28,0,Classe 1,todas_as_dobras
leave_one_out,partida,PM-007,PM-007,2913,12,0.6301,89.25,0,Classe 2,todas_as_dobras
leave_one_out,partida,PM-008,PM-008,2924,12,0.2369,34.28,0,Classe 0,todas_as_dobras
leave_one_out,partida,PM-009,PM-009,2933,12,0.4758,77.65,0,Classe 1,todas_as_dobras
leave_one_out,partida,PM-010,PM-010,3010,12,0.5311,80.52,0,Classe 1,todas_as_dobras
leave_one_out,partida,PM-011,PM-011,3028,12,0.2354,30.01,0,Classe 0,todas_as_dobras
leave_one_out,partida,PM-012,PM-012,2971,12,0.7142,94.67,0,Classe 2,todas_as_dobras
leave_one_out,partida,PM-013,PM-013,3012,12,0.4939,77.25,0,Classe 1,todas_as_dobras
leave_one_out,partida,PM-014,PM-014,3017,12,0.4525,71.05,0,Classe 1,todas_as_dobras
leave_one_out,atleta,Joseph,Joseph,1166,6,0.4242,69.73,0,Classe 1,todas_as_dobras
leave_one_out,atleta,Mateusinho,Mateusinho,1194,6,0.3353,50.95,0,Classe 0,todas_as_dobras
leave_one_out,atleta,Ygor Catatau,Ygor Catatau,1380,6,0.1888,38.06,0,Classe 0,todas_as_dobras
leave_one_out,atleta,Paulo Miranda,Paulo Miranda,362,6,0.1587,30.7,0,Classe 0,todas_as_dobras
leave_one_out,atleta,Eduardo Bauermann,Eduardo Bauermann,947,6,0.289,47.21,0,Classe 0,todas_as_dobras
leave_one_out,atleta,Nino Paraiba,Nino Paraiba,2405,6,0.0208,28.8,0,Classe 0,todas_as_dobras
leave_one_out,atleta,Moraes Jr,Moraes Jr,906,6,0.6049,85.03,0,Classe 2,todas_as_dobras
separacao_por_serie,partida,treina_em_B_avalia_em_A,PM-006,2899,4,0.2087,53.67,0,Classe 0,treina_em_B_avalia_em_A
separacao_por_serie,partida,treina_em_B_avalia_em_A,PM-007,2913,4,0.4844,89.91,0,Classe 1,treina_em_B_avalia_em_A
separacao_por_serie,partida,treina_em_B_avalia_em_A,PM-008,2924,4,0.0563,7.15,0,Classe 0,treina_em_B_avalia_em_A
separacao_por_serie,partida,treina_em_B_avalia_em_A,PM-009,2933,4,0.3952,82.28,0,Classe 1,treina_em_B_avalia_em_A
separacao_por_serie,partida,treina_em_B_avalia_em_A,PM-010,3010,4,0.649,96.07,0,Classe 2,treina_em_B_avalia_em_A
separacao_por_serie,partida,treina_em_B_avalia_em_A,PM-011,3028,4,0.086,17.42,0,Classe 0,treina_em_B_avalia_em_A
separacao_por_serie,partida,treina_em_B_avalia_em_A,PM-012,2971,4,0.0964,24.13,0,Classe 0,treina_em_B_avalia_em_A
separacao_por_serie,partida,treina_em_B_avalia_em_A,PM-013,3012,4,0.1058,27.37,0,Classe 0,treina_em_B_avalia_em_A
separacao_por_serie,partida,treina_em_B_avalia_em_A,PM-014,3017,4,0.2342,60.54,0,Classe 0,treina_em_B_avalia_em_A
separacao_por_serie,partida,treina_em_A_avalia_em_B,PM-001,4178,9,0.3666,54.68,1,Classe 1,treina_em_A_avalia_em_B
separacao_por_serie,partida,treina_em_A_avalia_em_B,PM-002,4172,9,0.6179,86.99,0,Classe 2,treina_em_A_avalia_em_B
separacao_por_serie,partida,treina_em_A_avalia_em_B,PM-003,4176,9,0.6139,85.92,0,Classe 2,treina_em_A_avalia_em_B
