serie,temporada,rodada,partida_id,clube_slug,num_camisa,apelido,registro_cbf,condicao,minutos_previos,cartoes_1t_previos,taxa_1t_ajustada,score_pre_jogo,atleta_pseudonimo
A,2025,1,1,internacional,5,atl_aef80417a5572774,167899,Titular,0.0,0.0,0.0,0.0,atl_aef80417a5572774
A,2025,1,1,flamengo,26,atl_2746f322bfb18936,186325,Titular,0.0,0.0,0.0,0.0,atl_2746f322bfb18936
A,2025,1,1,internacional,8,atl_95bddca79677e74e,292132,Titular,0.0,0.0,0.0,0.0,atl_95bddca79677e74e
A,2025,1,1,internacional,10,atl_f624945a948cabe8,305976,Titular,0.0,0.0,0.0,0.0,atl_f624945a948cabe8
A,2025,1,1,flamengo,4,atl_c103654c5a7b5bff,310373,Titular,0.0,0.0,0.0,0.0,atl_c103654c5a7b5bff
A,2025,1,2,vasco_da_gama_s_a_f,90,atl_35a203be5442d164,177753,Reserva,0.0,0.0,0.0,0.0,atl_35a203be5442d164
A,2025,1,2,santos_fc,4,atl_6049a0894a828e60,178854,Titular,0.0,0.0,0.0,0.0,atl_6049a0894a828e60
A,2025,1,2,santos_fc,3,atl_ff4b2079f6b5a441,294407,Reserva,0.0,0.0,0.0,0.0,atl_ff4b2079f6b5a441
A,2025,1,2,vasco_da_gama_s_a_f,11,atl_4d4df9738044a718,298303,Titular,0.0,0.0,0.0,0.0,atl_4d4df9738044a718
A,2025,1,2,santos_fc,9,atl_dd20fcd3e076aa10,301823,Titular,0.0,0.0,0.0,0.0,atl_dd20fcd3e076aa10
A,2025,1,3,palmeiras,14,atl_107c930280c7948d,157264,Reserva,0.0,0.0,0.0,0.0,atl_107c930280c7948d
A,2025,1,3,palmeiras,21,atl_24143413999468ce,169050,Titular,0.0,0.0,0.0,0.0,atl_24143413999468ce
A,2025,1,3,botafogo,25,atl_2b840e803c1da83e,184906,Reserva,0.0,0.0,0.0,0.0,atl_2b840e803c1da83e
A,2025,1,3,botafogo,13,atl_05a6f2259994a8ab,297016,Titular,0.0,0.0,0.0,0.0,atl_05a6f2259994a8ab
A,2025,1,3,palmeiras,23,atl_6d257cf472919d02,308405,Titular,0.0,0.0,0.0,0.0,atl_6d257cf472919d02
A,2025,1,4,sao_paulo,16,atl_8b223a0e90d5a4c8,172368,Titular,0.0,0.0,0.0,0.0,atl_8b223a0e90d5a4c8
A,2025,1,4,sao_paulo,23,atl_ebd21e193a163a96,180213,Titular,0.0,0.0,0.0,0.0,atl_ebd21e193a163a96
A,2025,1,4,sao_paulo,93,atl_e45de42b65e31674,295557,Reserva,0.0,0.0,0.0,0.0,atl_e45de42b65e31674
A,2025,1,4,sport,19,atl_e1148c529558a7b6,304434,Reserva,0.0,0.0,0.0,0.0,atl_e1148c529558a7b6
A,2025,1,4,sport,25,atl_2b960a68a36e1b96,307273,Reserva,0.0,0.0,0.0,0.0,atl_2b960a68a36e1b96
A,2025,1,5,ceara,16,atl_15b64f712409f746,159684,Reserva,0.0,0.0,0.0,0.0,atl_15b64f712409f746
A,2025,1,5,red_bull_bragantino,8,atl_98b31c9cf7dedca1,295792,Titular,0.0,0.0,0.0,0.0,atl_98b31c9cf7dedca1
A,2025,1,5,ceara,3,atl_51005b526d4ed67b,299840,Titular,0.0,0.0,0.0,0.0,atl_51005b526d4ed67b
A,2025,1,5,ceara,33,atl_62b43a47c1c4d716,318115,Reserva,0.0,0.0,0.0,0.0,atl_62b43a47c1c4d716
A,2025,1,5,red_bull_bragantino,35,atl_6859fde79cc40849,320263,Titular,0.0,0.0,0.0,0.0,atl_6859fde79cc40849
A,2025,1,6,cruzeiro_saf,1,atl_6f08d99002de1dec,166276,Titular,0.0,0.0,0.0,0.0,atl_6f08d99002de1dec
A,2025,1,6,mirassol,23,atl_7f233c515a4bcf67,177010,Titular,0.0,0.0,0.0,0.0,atl_7f233c515a4bcf67
A,2025,1,6,cruzeiro_saf,23,atl_693065d398e89c4f,177050,Reserva,0.0,0.0,0.0,0.0,atl_693065d398e89c4f
A,2025,1,6,cruzeiro_saf,21,atl_881957678c431ecd,184041,Reserva,0.0,0.0,0.0,0.0,atl_881957678c431ecd
A,2025,1,6,cruzeiro_saf,7,atl_b6d8c74eddbd2ae1,291738,Titular,0.0,0.0,0.0,0.0,atl_b6d8c74eddbd2ae1
A,2025,1,7,atletico_mineiro_saf,7,atl_9422d7084e24d53d,163056,Titular,0.0,0.0,0.0,0.0,atl_9422d7084e24d53d
A,2025,1,7,atletico_mineiro_saf,22,atl_a645551e094421ee,188398,Titular,0.0,0.0,0.0,0.0,atl_a645551e094421ee
A,2025,1,7,gremio,1,atl_ad870c7af04ada81,291584,Titular,0.0,0.0,0.0,0.0,atl_ad870c7af04ada81
A,2025,1,7,atletico_mineiro_saf,14,atl_0516631665958bcc,300140,Reserva,0.0,0.0,0.0,0.0,atl_0516631665958bcc
A,2025,1,7,gremio,8,atl_53719b761e58ff8d,306270,Titular,0.0,0.0,0.0,0.0,atl_53719b761e58ff8d
A,2025,1,8,bahia,10,atl_5a4df12eff610b37,177444,Titular,0.0,0.0,0.0,0.0,atl_5a4df12eff610b37
A,2025,1,8,bahia,12,atl_7425eb4e8e4e4338,305535,Reserva,0.0,0.0,0.0,0.0,atl_7425eb4e8e4e4338
A,2025,1,8,bahia,2,atl_eff8af517b055f29,307134,Titular,0.0,0.0,0.0,0.0,atl_eff8af517b055f29
A,2025,1,8,corinthians,5,atl_56c2386df7c407c8,313329,Titular,0.0,0.0,0.0,0.0,atl_56c2386df7c407c8
A,2025,1,8,bahia,5,atl_dbd328c9fd45f7eb,315696,Reserva,0.0,0.0,0.0,0.0,atl_dbd328c9fd45f7eb
A,2025,1,9,fluminense,1,atl_1f6f89028101efd2,129292,Titular,0.0,0.0,0.0,0.0,atl_1f6f89028101efd2
A,2025,1,9,fluminense,3,atl_e79b08abd8657913,156993,Titular,0.0,0.0,0.0,0.0,atl_e79b08abd8657913
A,2025,1,9,fortaleza,4,atl_af207c035ce3f3db,170255,Titular,0.0,0.0,0.0,0.0,atl_af207c035ce3f3db
A,2025,1,9,fortaleza,23,atl_51678ae0f962ebe3,172367,Reserva,0.0,0.0,0.0,0.0,atl_51678ae0f962ebe3
